x0	Cl	
13.26640 	 0.00000 	 
13.28862 	 0.00000 	 
13.31084 	 0.00000 	 
13.33307 	 0.00000 	 
13.35529 	 0.00000 	 
13.37751 	 0.00000 	 
13.39973 	 0.00000 	 
13.42195 	 0.00000 	 
13.44418 	 0.00000 	 
13.46640 	 0.00000 	 
13.48862 	 0.00000 	 
13.51084 	 0.00000 	 
13.53306 	 0.00000 	 
13.55528 	 0.00000 	 
13.57751 	 0.00000 	 
13.59973 	 0.00000 	 
13.62195 	 0.00000 	 
13.64417 	 0.00000 	 
13.66639 	 0.00000 	 
13.68861 	 0.00000 	 
13.71084 	 0.00000 	 
13.73306 	 0.00000 	 
13.75528 	 0.00000 	 
13.77750 	 0.00000 	 
13.79972 	 0.00000 	 
13.82195 	 0.00000 	 
13.84417 	 0.00000 	 
13.86639 	 0.00000 	 
13.88861 	 0.00000 	 
13.91083 	 0.00000 	 
13.93305 	 0.00000 	 
13.95528 	 0.00000 	 
13.97750 	 0.00000 	 
13.99972 	 0.00000 	 
14.02194 	 0.00000 	 
14.04416 	 0.00000 	 
14.06638 	 0.00000 	 
14.08861 	 0.00000 	 
14.11083 	 0.00000 	 
14.13305 	 0.00000 	 
14.15527 	 0.00000 	 
14.17749 	 0.00000 	 
14.19972 	 0.00000 	 
14.22194 	 0.00000 	 
14.24416 	 0.00000 	 
14.26638 	 0.00000 	 
14.28860 	 0.00000 	 
14.31082 	 0.00000 	 
14.33305 	 0.00000 	 
14.35527 	 0.00000 	 
14.37749 	 0.00000 	 
14.39971 	 0.00000 	 
14.42193 	 0.00000 	 
14.44416 	 0.00000 	 
14.46638 	 0.00000 	 
14.48860 	 0.00000 	 
14.51082 	 0.00000 	 
14.53304 	 0.00000 	 
14.55526 	 0.00000 	 
14.57749 	 0.00000 	 
14.59971 	 0.00000 	 
14.62193 	 0.00000 	 
14.64415 	 0.00000 	 
14.66637 	 0.00000 	 
14.68859 	 0.00000 	 
14.71082 	 0.00000 	 
14.73304 	 0.00000 	 
14.75526 	 0.00000 	 
14.77748 	 0.00000 	 
14.79970 	 0.00000 	 
14.82193 	 0.00000 	 
14.84415 	 0.00000 	 
14.86637 	 0.00000 	 
14.88859 	 0.00000 	 
14.91081 	 0.00000 	 
14.93303 	 0.00000 	 
14.95526 	 0.00000 	 
14.97748 	 0.00000 	 
14.99970 	 0.00000 	 
15.02192 	 0.00000 	 
15.04414 	 0.00000 	 
15.06636 	 0.00000 	 
15.08859 	 0.00000 	 
15.11081 	 0.00000 	 
15.13303 	 0.00000 	 
15.15525 	 0.00000 	 
15.17747 	 0.00000 	 
15.19970 	 0.00000 	 
15.22192 	 0.00000 	 
15.24414 	 0.00000 	 
15.26636 	 0.00000 	 
15.28858 	 0.00000 	 
15.31080 	 0.00000 	 
15.33303 	 0.00000 	 
15.35525 	 0.00000 	 
15.37747 	 0.00000 	 
15.39969 	 0.00000 	 
15.42191 	 0.00000 	 
15.44413 	 0.00000 	 
15.46636 	 0.00000 	 
15.48858 	 0.00000 	 
15.51080 	 0.00000 	 
15.53302 	 0.00000 	 
15.55524 	 0.00000 	 
15.57747 	 0.00000 	 
15.59969 	 0.00000 	 
15.62191 	 0.00000 	 
15.64413 	 0.00000 	 
15.66635 	 0.00000 	 
15.68857 	 0.00000 	 
15.71080 	 0.00000 	 
15.73302 	 0.00000 	 
15.75524 	 0.00000 	 
15.77746 	 0.00000 	 
15.79968 	 0.00000 	 
15.82191 	 0.00000 	 
15.84413 	 0.00000 	 
15.86635 	 0.00000 	 
15.88857 	 0.00000 	 
15.91079 	 0.00000 	 
15.93301 	 0.00000 	 
15.95524 	 0.00000 	 
15.97746 	 0.00000 	 
15.99968 	 0.00000 	 
16.02190 	 0.00000 	 
16.04412 	 0.00000 	 
16.06634 	 0.00000 	 
16.08857 	 0.00000 	 
16.11079 	 0.00000 	 
16.13301 	 0.00000 	 
16.15523 	 0.00000 	 
16.17745 	 0.00000 	 
16.19968 	 0.00000 	 
16.22190 	 0.00000 	 
16.24412 	 0.00000 	 
16.26634 	 0.00000 	 
16.28856 	 0.00000 	 
16.31078 	 0.00000 	 
16.33301 	 0.00000 	 
16.35523 	 0.00000 	 
16.37745 	 0.00000 	 
16.39967 	 0.00000 	 
16.42189 	 0.00000 	 
16.44411 	 0.00000 	 
16.46634 	 0.00000 	 
16.48856 	 0.00000 	 
16.51078 	 0.00000 	 
16.53300 	 0.00000 	 
16.55522 	 0.00000 	 
16.57745 	 0.00000 	 
16.59967 	 0.00000 	 
16.62189 	 0.00000 	 
16.64411 	 0.00000 	 
16.66633 	 0.00000 	 
16.68855 	 0.00000 	 
16.71078 	 0.00000 	 
16.73300 	 0.00000 	 
16.75522 	 0.00000 	 
16.77744 	 0.00000 	 
16.79966 	 0.00000 	 
16.82189 	 0.00000 	 
16.84411 	 0.00000 	 
16.86633 	 0.00000 	 
16.88855 	 0.00000 	 
16.91077 	 0.00000 	 
16.93299 	 0.00000 	 
16.95522 	 0.00000 	 
16.97744 	 0.00000 	 
16.99966 	 0.00000 	 
17.02188 	 0.00000 	 
17.04410 	 0.00000 	 
17.06632 	 0.00000 	 
17.08855 	 0.00000 	 
17.11077 	 0.00000 	 
17.13299 	 0.00000 	 
17.15521 	 0.00000 	 
17.17743 	 0.00000 	 
17.19966 	 0.00000 	 
17.22188 	 0.00000 	 
17.24410 	 0.00000 	 
17.26632 	 0.00000 	 
17.28854 	 0.00000 	 
17.31076 	 0.00000 	 
17.33299 	 0.00000 	 
17.35521 	 0.00000 	 
17.37743 	 0.00000 	 
17.39965 	 0.00000 	 
17.42187 	 0.00000 	 
17.44409 	 0.00000 	 
17.46632 	 0.00000 	 
17.48854 	 0.00000 	 
17.51076 	 0.00000 	 
17.53298 	 0.00000 	 
17.55520 	 0.00000 	 
17.57743 	 0.00000 	 
17.59965 	 0.00000 	 
17.62187 	 0.00000 	 
17.64409 	 0.00000 	 
17.66631 	 0.00000 	 
17.68853 	 0.00000 	 
17.71076 	 0.00000 	 
17.73298 	 0.00000 	 
17.75520 	 0.00000 	 
17.77742 	 0.00000 	 
17.79964 	 0.00000 	 
17.82187 	 0.00000 	 
17.84409 	 0.00000 	 
17.86631 	 0.00000 	 
17.88853 	 0.00000 	 
17.91075 	 0.00000 	 
17.93297 	 0.00000 	 
17.95520 	 0.00000 	 
17.97742 	 0.00000 	 
17.99964 	 0.00000 	 
18.02186 	 0.00000 	 
18.04408 	 0.00000 	 
18.06630 	 0.00000 	 
18.08853 	 0.00000 	 
18.11075 	 0.00000 	 
18.13297 	 0.00000 	 
18.15519 	 0.00000 	 
18.17741 	 0.00000 	 
18.19964 	 0.00000 	 
18.22186 	 0.00000 	 
18.24408 	 0.00000 	 
18.26630 	 0.00000 	 
18.28852 	 0.00000 	 
18.31074 	 0.00000 	 
18.33297 	 0.00000 	 
18.35519 	 0.00000 	 
18.37741 	 0.00000 	 
18.39963 	 0.00000 	 
18.42185 	 0.00000 	 
18.44407 	 0.00000 	 
18.46630 	 0.00000 	 
18.48852 	 0.00000 	 
18.51074 	 0.00000 	 
18.53296 	 0.00000 	 
18.55518 	 0.00000 	 
18.57741 	 0.00000 	 
18.59963 	 0.00000 	 
18.62185 	 0.00000 	 
18.64407 	 0.00000 	 
18.66629 	 0.00000 	 
18.68851 	 0.00000 	 
18.71074 	 0.00000 	 
18.73296 	 0.00000 	 
18.75518 	 0.00000 	 
18.77740 	 0.00000 	 
18.79962 	 0.00000 	 
18.82185 	 0.00000 	 
18.84407 	 0.00000 	 
18.86629 	 0.00000 	 
18.88851 	 0.00000 	 
18.91073 	 0.00000 	 
18.93295 	 0.00000 	 
18.95518 	 0.00000 	 
18.97740 	 0.00000 	 
18.99962 	 0.00000 	 
19.02184 	 0.00000 	 
19.04406 	 0.00000 	 
19.06628 	 0.00000 	 
19.08851 	 0.00000 	 
19.11073 	 0.00000 	 
19.13295 	 0.00000 	 
19.15517 	 0.00000 	 
19.17739 	 0.00000 	 
19.19962 	 0.00000 	 
19.22184 	 0.00000 	 
19.24406 	 0.00000 	 
19.26628 	 0.00000 	 
19.28850 	 0.00000 	 
19.31072 	 0.00000 	 
19.33295 	 0.00000 	 
19.35517 	 0.00000 	 
19.37739 	 0.00000 	 
19.39961 	 0.00000 	 
19.42183 	 0.00000 	 
19.44405 	 0.00000 	 
19.46628 	 0.00000 	 
