t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5
  1.5032840E+02         9.3460715E-01        -5.5511151E-17         0.0000000E+00         0.0000000E+00         6.6757327E-01         8.9886564E-01         2.8089130E-01         1.1216209E-01         7.3264599E-02         6.3337135E-01         9.0800732E-01        -8.6492859E-02         7.8647479E-02        -5.0023228E-02         6.4222324E-01         9.7469485E-01         3.1774822E-01         4.4757359E-02         9.2354938E-03         6.8693709E-01         9.4604504E-01         1.4865817E-02         2.5038230E-01         1.0758951E-01         6.7682427E-01
  1.5033610E+02         9.3510216E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6792631E-01         8.9506394E-01         2.9699239E-01         1.2893374E-01         1.0225549E-01         6.3105094E-01         9.0778667E-01        -9.6372046E-02         9.3513742E-02        -6.1653227E-02         6.4275551E-01         9.7304535E-01         3.3437753E-01         3.2330055E-02         1.4064103E-02         6.8492073E-01         9.4553721E-01        -2.8925519E-03         2.5320020E-01         1.1260901E-01         6.7588353E-01
  1.5034400E+02         9.3566179E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6832584E-01         8.9181817E-01         3.2782817E-01         1.5263076E-01         1.3426553E-01         6.2734014E-01         9.0761352E-01        -1.0476716E-01         1.1189011E-01        -6.7769945E-02         6.4340687E-01         9.6989703E-01         3.4914660E-01         1.9677170E-02         1.4699874E-02         6.8265641E-01         9.4515610E-01        -2.1179283E-02         2.5636080E-01         1.1445168E-01         6.7494851E-01
  1.5035170E+02         9.3623620E-01        -5.5511151E-17         0.0000000E+00         0.0000000E+00         6.6873604E-01         8.8898391E-01         3.6058763E-01         1.8396953E-01         1.4671454E-01         6.2225312E-01         9.0736902E-01        -1.1114743E-01         1.3225119E-01        -7.0113577E-02         6.4391053E-01         9.6544868E-01         3.5945910E-01         6.8889740E-03         5.8342149E-03         6.8045235E-01         9.4487190E-01        -3.8521428E-02         2.5926721E-01         1.1282792E-01         6.7409772E-01
  1.5035960E+02         9.3679816E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6913766E-01         8.8606548E-01         3.6370984E-01         2.2342217E-01         1.3205262E-01         6.1751628E-01         9.0707034E-01        -1.1436240E-01         1.5361521E-01        -7.0457444E-02         6.4420170E-01         9.6017176E-01         3.6435792E-01        -4.2664213E-03        -1.5866809E-02         6.7859334E-01         9.4461274E-01        -5.5087715E-02         2.6167029E-01         1.0763603E-01         6.7331082E-01
  1.5036730E+02         9.3731391E-01         5.5511151E-17         0.0000000E+00         0.0000000E+00         6.6950625E-01         8.8502908E-01         3.2539651E-01         2.6116124E-01         1.1005079E-01         6.1604959E-01         9.0687197E-01        -1.1391292E-01         1.7335048E-01        -6.9988869E-02         6.4431584E-01         9.5546883E-01         3.6391509E-01        -9.9268965E-03        -4.6445716E-02         6.7738473E-01         9.4437355E-01        -6.9666140E-02         2.6320612E-01         9.9210538E-02         6.7266852E-01
  1.5037520E+02         9.3781400E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6986382E-01         8.8756198E-01         2.8301063E-01         2.8511077E-01         1.0159495E-01         6.1803257E-01         9.0750051E-01        -1.1110757E-01         1.9081116E-01        -7.0058100E-02         6.4486206E-01         9.5224935E-01         3.6081833E-01        -9.6076895E-03        -7.7971727E-02         6.7658675E-01         9.4413996E-01        -8.2501024E-02         2.6374620E-01         8.7428287E-02         6.7219156E-01
  1.5038290E+02         9.3825048E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7017615E-01         8.9300036E-01         2.6235926E-01         2.8888595E-01         1.0013501E-01         6.2214625E-01         9.0918857E-01        -1.0921294E-01         2.0372297E-01        -7.1246646E-02         6.4599687E-01         9.5111597E-01         3.5867062E-01        -6.0992669E-03        -9.8324724E-02         6.7601502E-01         9.4388902E-01        -9.2757277E-02         2.6310328E-01         7.3157355E-02         6.7190611E-01
  1.5039080E+02         9.3861824E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7043978E-01         8.9902109E-01         2.6057684E-01         2.7924639E-01         9.2393748E-02         6.2677431E-01         9.1197580E-01        -1.1197139E-01         2.1232840E-01        -7.3340394E-02         6.4767772E-01         9.5172960E-01         3.5919669E-01        -2.0085375E-03        -1.0079744E-01         6.7565858E-01         9.4356096E-01        -1.0072441E-01         2.6110169E-01         5.6276891E-02         6.7177689E-01
  1.5039850E+02         9.3887138E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7062151E-01         9.0375108E-01         2.6672125E-01         2.6610231E-01         8.4289439E-02         6.3125390E-01         9.1565490E-01        -1.2035748E-01         2.1664765E-01        -7.5966425E-02         6.4985770E-01         9.5340168E-01         3.6166459E-01         2.4223553E-03        -8.3913125E-02         6.7564172E-01         9.4310468E-01        -1.0599783E-01         2.5771710E-01         3.8161535E-02         6.7175269E-01
  1.5040640E+02         9.3905008E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7074972E-01         9.0871239E-01         2.7227160E-01         2.5276718E-01         6.7914024E-02         6.3611859E-01         9.1950762E-01        -1.3077597E-01         2.1694766E-01        -7.9161212E-02         6.5215534E-01         9.5549864E-01         3.6373615E-01         8.4648747E-03        -5.2651905E-02         6.7584097E-01         9.4247472E-01        -1.0878870E-01         2.5276068E-01         1.8773021E-02         6.7178893E-01
  1.5041430E+02         9.3917328E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7083788E-01         9.1308218E-01         2.8415552E-01         2.3795429E-01         2.8514953E-02         6.4090943E-01         9.2245394E-01        -1.3444903E-01         2.1360683E-01        -8.2456753E-02         6.5412098E-01         9.5729828E-01         3.6298215E-01         1.5840210E-02        -1.8535441E-02         6.7581522E-01         9.4173342E-01        -1.0893953E-01         2.4639463E-01        -6.6779461E-04         6.7188179E-01
  1.5042200E+02         9.3928206E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7091548E-01         9.1480476E-01         2.9889587E-01         2.2133222E-01        -2.2353811E-02         6.4445186E-01         9.2422998E-01        -1.2298887E-01         2.0834592E-01        -8.4814347E-02         6.5603000E-01         9.5831001E-01         3.5901237E-01         2.2343177E-02         5.9387279E-03         6.7533022E-01         9.4103211E-01        -1.0659893E-01         2.3912659E-01        -1.8914850E-02         6.7205441E-01
  1.5042990E+02         9.3939114E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7099303E-01         9.1480696E-01         3.0655110E-01         2.0484018E-01        -6.8612821E-02         6.4696246E-01         9.2530245E-01        -9.2801400E-02         2.0160100E-01        -8.6437695E-02         6.5840369E-01         9.5845270E-01         3.5355937E-01         2.5612403E-02         1.4026070E-02         6.7450452E-01         9.4053817E-01        -1.0188552E-01         2.3127054E-01        -3.5993539E-02         6.7235923E-01
