x0	i=0	x1	i=1	x2	i=2	
1.211211e-01 	 1.210339e-01 	1.211211e-01 	 1.211218e-01 	1.211211e-01 	 1.211156e-01 	 
1.221221e-01 	 1.220340e-01 	1.221221e-01 	 1.221229e-01 	1.221221e-01 	 1.221165e-01 	 
1.231231e-01 	 1.230341e-01 	1.231231e-01 	 1.231239e-01 	1.231231e-01 	 1.231175e-01 	 
1.241241e-01 	 1.240341e-01 	1.241241e-01 	 1.241249e-01 	1.241241e-01 	 1.241184e-01 	 
1.251251e-01 	 1.250342e-01 	1.251251e-01 	 1.251260e-01 	1.251251e-01 	 1.251194e-01 	 
1.261261e-01 	 1.260342e-01 	1.261261e-01 	 1.261270e-01 	1.261261e-01 	 1.261203e-01 	 
1.271271e-01 	 1.270343e-01 	1.271271e-01 	 1.271280e-01 	1.271271e-01 	 1.271213e-01 	 
1.281281e-01 	 1.280343e-01 	1.281281e-01 	 1.281291e-01 	1.281281e-01 	 1.281222e-01 	 
1.291291e-01 	 1.290343e-01 	1.291291e-01 	 1.291301e-01 	1.291291e-01 	 1.291231e-01 	 
1.301301e-01 	 1.300343e-01 	1.301301e-01 	 1.301311e-01 	1.301301e-01 	 1.301241e-01 	 
1.311311e-01 	 1.310343e-01 	1.311311e-01 	 1.311322e-01 	1.311311e-01 	 1.311250e-01 	 
1.321321e-01 	 1.320342e-01 	1.321321e-01 	 1.321332e-01 	1.321321e-01 	 1.321260e-01 	 
1.331331e-01 	 1.330342e-01 	1.331331e-01 	 1.331342e-01 	1.331331e-01 	 1.331269e-01 	 
1.341341e-01 	 1.340341e-01 	1.341341e-01 	 1.341353e-01 	1.341341e-01 	 1.341278e-01 	 
1.351351e-01 	 1.350341e-01 	1.351351e-01 	 1.351363e-01 	1.351351e-01 	 1.351288e-01 	 
1.361361e-01 	 1.360340e-01 	1.361361e-01 	 1.361373e-01 	1.361361e-01 	 1.361297e-01 	 
1.371371e-01 	 1.370339e-01 	1.371371e-01 	 1.371384e-01 	1.371371e-01 	 1.371307e-01 	 
1.381381e-01 	 1.380338e-01 	1.381381e-01 	 1.381394e-01 	1.381381e-01 	 1.381316e-01 	 
1.391391e-01 	 1.390337e-01 	1.391391e-01 	 1.391405e-01 	1.391391e-01 	 1.391325e-01 	 
1.401401e-01 	 1.400336e-01 	1.401401e-01 	 1.401415e-01 	1.401401e-01 	 1.401335e-01 	 
1.411411e-01 	 1.410334e-01 	1.411411e-01 	 1.411426e-01 	1.411411e-01 	 1.411344e-01 	 
1.421421e-01 	 1.420333e-01 	1.421421e-01 	 1.421436e-01 	1.421421e-01 	 1.421353e-01 	 
1.431431e-01 	 1.430331e-01 	1.431431e-01 	 1.431446e-01 	1.431431e-01 	 1.431363e-01 	 
1.441441e-01 	 1.440329e-01 	1.441441e-01 	 1.441457e-01 	1.441441e-01 	 1.441372e-01 	 
1.451451e-01 	 1.450327e-01 	1.451451e-01 	 1.451467e-01 	1.451451e-01 	 1.451381e-01 	 
1.461461e-01 	 1.460325e-01 	1.461461e-01 	 1.461478e-01 	1.461461e-01 	 1.461390e-01 	 
1.471471e-01 	 1.470323e-01 	1.471471e-01 	 1.471488e-01 	1.471471e-01 	 1.471400e-01 	 
1.481481e-01 	 1.480320e-01 	1.481481e-01 	 1.481499e-01 	1.481481e-01 	 1.481409e-01 	 
1.491491e-01 	 1.490318e-01 	1.491491e-01 	 1.491509e-01 	1.491491e-01 	 1.491418e-01 	 
1.501502e-01 	 1.500315e-01 	1.501502e-01 	 1.501520e-01 	1.501502e-01 	 1.501427e-01 	 
1.511512e-01 	 1.510312e-01 	1.511512e-01 	 1.511530e-01 	1.511512e-01 	 1.511436e-01 	 
1.521522e-01 	 1.520309e-01 	1.521522e-01 	 1.521541e-01 	1.521522e-01 	 1.521446e-01 	 
1.531532e-01 	 1.530306e-01 	1.531532e-01 	 1.531551e-01 	1.531532e-01 	 1.531455e-01 	 
1.541542e-01 	 1.540302e-01 	1.541542e-01 	 1.541562e-01 	1.541542e-01 	 1.541464e-01 	 
1.551552e-01 	 1.550299e-01 	1.551552e-01 	 1.551573e-01 	1.551552e-01 	 1.551473e-01 	 
1.561562e-01 	 1.560295e-01 	1.561562e-01 	 1.561583e-01 	1.561562e-01 	 1.561482e-01 	 
1.571572e-01 	 1.570291e-01 	1.571572e-01 	 1.571594e-01 	1.571572e-01 	 1.571491e-01 	 
1.581582e-01 	 1.580287e-01 	1.581582e-01 	 1.581604e-01 	1.581582e-01 	 1.581500e-01 	 
1.591592e-01 	 1.590283e-01 	1.591592e-01 	 1.591615e-01 	1.591592e-01 	 1.591509e-01 	 
1.601602e-01 	 1.600278e-01 	1.601602e-01 	 1.601625e-01 	1.601602e-01 	 1.601518e-01 	 
1.611612e-01 	 1.610274e-01 	1.611612e-01 	 1.611636e-01 	1.611612e-01 	 1.611527e-01 	 
1.621622e-01 	 1.620269e-01 	1.621622e-01 	 1.621647e-01 	1.621622e-01 	 1.621536e-01 	 
1.631632e-01 	 1.630264e-01 	1.631632e-01 	 1.631657e-01 	1.631632e-01 	 1.631545e-01 	 
1.641642e-01 	 1.640259e-01 	1.641642e-01 	 1.641668e-01 	1.641642e-01 	 1.641554e-01 	 
1.651652e-01 	 1.650254e-01 	1.651652e-01 	 1.651679e-01 	1.651652e-01 	 1.651563e-01 	 
1.661662e-01 	 1.660248e-01 	1.661662e-01 	 1.661689e-01 	1.661662e-01 	 1.661572e-01 	 
1.671672e-01 	 1.670242e-01 	1.671672e-01 	 1.671700e-01 	1.671672e-01 	 1.671581e-01 	 
1.681682e-01 	 1.680236e-01 	1.681682e-01 	 1.681711e-01 	1.681682e-01 	 1.681590e-01 	 
1.691692e-01 	 1.690230e-01 	1.691692e-01 	 1.691721e-01 	1.691692e-01 	 1.691599e-01 	 
1.701702e-01 	 1.700224e-01 	1.701702e-01 	 1.701732e-01 	1.701702e-01 	 1.701608e-01 	 
1.711712e-01 	 1.710218e-01 	1.711712e-01 	 1.711743e-01 	1.711712e-01 	 1.711616e-01 	 
1.721722e-01 	 1.720211e-01 	1.721722e-01 	 1.721753e-01 	1.721722e-01 	 1.721625e-01 	 
1.731732e-01 	 1.730204e-01 	1.731732e-01 	 1.731764e-01 	1.731732e-01 	 1.731634e-01 	 
1.741742e-01 	 1.740197e-01 	1.741742e-01 	 1.741775e-01 	1.741742e-01 	 1.741643e-01 	 
1.751752e-01 	 1.750190e-01 	1.751752e-01 	 1.751785e-01 	1.751752e-01 	 1.751651e-01 	 
1.761762e-01 	 1.760182e-01 	1.761762e-01 	 1.761796e-01 	1.761762e-01 	 1.761660e-01 	 
1.771772e-01 	 1.770174e-01 	1.771772e-01 	 1.771807e-01 	1.771772e-01 	 1.771669e-01 	 
1.781782e-01 	 1.780166e-01 	1.781782e-01 	 1.781818e-01 	1.781782e-01 	 1.781677e-01 	 
1.791792e-01 	 1.790158e-01 	1.791792e-01 	 1.791828e-01 	1.791792e-01 	 1.791686e-01 	 
1.801802e-01 	 1.800150e-01 	1.801802e-01 	 1.801839e-01 	1.801802e-01 	 1.801695e-01 	 
1.811812e-01 	 1.810141e-01 	1.811812e-01 	 1.811850e-01 	1.811812e-01 	 1.811703e-01 	 
