x0	G1	x1	G2	x2	G3	x3	G4	
-7.430680e-02 	 -6.833063e-01 	3.554250e-01 	 -5.459792e-01 	1.200010e-01 	 -5.459690e-01 	1.200010e-01 	 -5.405673e-01 	 
-6.892650e-02 	 -6.757301e-01 	3.614500e-01 	 -5.453183e-01 	1.268120e-01 	 -5.446920e-01 	1.268120e-01 	 -5.396722e-01 	 
-6.353490e-02 	 -6.680678e-01 	3.673430e-01 	 -5.444572e-01 	1.335950e-01 	 -5.434609e-01 	1.335950e-01 	 -5.390103e-01 	 
-5.813270e-02 	 -6.605445e-01 	3.731040e-01 	 -5.433816e-01 	1.403470e-01 	 -5.422661e-01 	1.403470e-01 	 -5.387482e-01 	 
-5.272080e-02 	 -6.533132e-01 	3.787300e-01 	 -5.421293e-01 	1.470680e-01 	 -5.412550e-01 	1.470680e-01 	 -5.386351e-01 	 
-4.730000e-02 	 -6.465349e-01 	3.842220e-01 	 -5.407136e-01 	1.537560e-01 	 -5.403635e-01 	1.537560e-01 	 -5.384763e-01 	 
-4.187100e-02 	 -6.401013e-01 	3.895780e-01 	 -5.391282e-01 	1.604080e-01 	 -5.394949e-01 	1.604080e-01 	 -5.383255e-01 	 
-3.643460e-02 	 -6.337621e-01 	3.947960e-01 	 -5.374370e-01 	1.670250e-01 	 -5.388638e-01 	1.670250e-01 	 -5.382447e-01 	 
-3.099160e-02 	 -6.275634e-01 	3.998770e-01 	 -5.356840e-01 	1.736040e-01 	 -5.385363e-01 	1.736040e-01 	 -5.381774e-01 	 
-2.554280e-02 	 -6.216798e-01 	4.048180e-01 	 -5.338164e-01 	1.801430e-01 	 -5.382709e-01 	1.801430e-01 	 -5.381251e-01 	 
-2.008890e-02 	 -6.161202e-01 	4.096210e-01 	 -5.318229e-01 	1.866410e-01 	 -5.379952e-01 	1.866410e-01 	 -5.382054e-01 	 
-1.463090e-02 	 -6.108617e-01 	4.142840e-01 	 -5.297459e-01 	1.930970e-01 	 -5.377587e-01 	1.930970e-01 	 -5.384117e-01 	 
-9.169430e-03 	 -6.060092e-01 	4.188060e-01 	 -5.275916e-01 	1.995090e-01 	 -5.375563e-01 	1.995090e-01 	 -5.386364e-01 	 
-3.705330e-03 	 -6.015124e-01 	4.231890e-01 	 -5.253854e-01 	2.058760e-01 	 -5.374020e-01 	2.058760e-01 	 -5.388346e-01 	 
1.760600e-03 	 -5.969795e-01 	4.274310e-01 	 -5.231591e-01 	2.121960e-01 	 -5.372451e-01 	2.121960e-01 	 -5.390514e-01 	 
7.227560e-03 	 -5.922640e-01 	4.315320e-01 	 -5.208741e-01 	2.184680e-01 	 -5.370518e-01 	2.184680e-01 	 -5.394034e-01 	 
