x0	Forced	x1	Inflow	x2	G2	x3	G3	x4	G4	x5	3DU	
1.954418e-01 	 6.261400e-03 	1.954418e-01 	 5.925400e-03 	2.768597e-03 	 -7.824600e-03 	-1.043163e-02 	 -9.239067e-03 	-2.041086e-01 	 -9.066667e-04 	nan          	nan          	 
2.027395e-01 	 6.161200e-03 	2.027395e-01 	 5.756200e-03 	7.817811e-03 	 -8.602200e-03 	-3.224207e-03 	 -9.188933e-03 	-2.005651e-01 	 -8.916000e-04 	nan          	nan          	 
2.100072e-01 	 6.049600e-03 	2.100072e-01 	 5.857400e-03 	1.287706e-02 	 -8.830600e-03 	3.983219e-03 	 -9.108000e-03 	-1.970116e-01 	 -8.784000e-04 	nan          	nan          	 
2.172447e-01 	 5.960200e-03 	2.172447e-01 	 6.188600e-03 	1.793631e-02 	 -8.174400e-03 	1.120068e-02 	 -8.946133e-03 	-1.934481e-01 	 -8.668000e-04 	nan          	nan          	 
2.244522e-01 	 5.924200e-03 	2.244522e-01 	 6.437400e-03 	2.299557e-02 	 -7.088800e-03 	1.841815e-02 	 -8.526533e-03 	-1.898644e-01 	 -8.574667e-04 	nan          	nan          	 
2.316194e-01 	 5.898200e-03 	2.316194e-01 	 6.465000e-03 	2.805482e-02 	 -6.286200e-03 	2.562557e-02 	 -7.877200e-03 	-1.862808e-01 	 -8.477333e-04 	nan          	nan          	 
2.387566e-01 	 5.827000e-03 	2.387566e-01 	 6.343200e-03 	3.311407e-02 	 -5.999200e-03 	3.283300e-02 	 -7.218267e-03 	-1.826771e-01 	 -8.389333e-04 	nan          	nan          	 
2.458636e-01 	 5.689200e-03 	2.458636e-01 	 6.103200e-03 	3.818336e-02 	 -6.043200e-03 	4.003039e-02 	 -6.590267e-03 	-1.790633e-01 	 -8.306667e-04 	nan          	nan          	 
2.529406e-01 	 5.511600e-03 	2.529406e-01 	 5.722800e-03 	4.325265e-02 	 -6.133600e-03 	4.721774e-02 	 -5.724267e-03 	-1.754395e-01 	 -8.245333e-04 	nan          	nan          	 
2.599774e-01 	 5.290800e-03 	2.599774e-01 	 5.299000e-03 	4.833198e-02 	 -6.005800e-03 	5.440509e-02 	 -4.352000e-03 	-1.718057e-01 	 -8.197333e-04 	nan          	nan          	 
2.669740e-01 	 4.995400e-03 	2.669740e-01 	 5.006400e-03 	5.341131e-02 	 -5.491800e-03 	6.157236e-02 	 -2.404133e-03 	-1.681618e-01 	 -8.174667e-04 	nan          	nan          	 
2.739405e-01 	 4.680800e-03 	2.739405e-01 	 4.970600e-03 	5.849064e-02 	 -4.622600e-03 	6.872960e-02 	 -7.160000e-05 	-1.645079e-01 	 -8.150667e-04 	nan          	nan          	 
