x0	T1	x1	T2	x2	T3	x3	T4	x4	avg	
-2.632168e-01 	 1.127501e-03 	-2.632168e-01 	 6.868794e-03 	-2.632168e-01 	 7.752551e-04 	-2.632168e-01 	 -1.574568e-03 	-2.762470e-01 	 1.430597e-03 	 
-2.589696e-01 	 1.221481e-03 	-2.589696e-01 	 6.757696e-03 	-2.589696e-01 	 7.653242e-04 	-2.589696e-01 	 -1.619940e-03 	-2.719340e-01 	 1.399700e-03 	 
-2.546851e-01 	 1.147610e-03 	-2.546851e-01 	 6.573192e-03 	-2.546851e-01 	 6.756025e-04 	-2.546851e-01 	 -1.712450e-03 	-2.675828e-01 	 1.371828e-03 	 
-2.503639e-01 	 1.102217e-03 	-2.503639e-01 	 6.176654e-03 	-2.503639e-01 	 3.968793e-04 	-2.503639e-01 	 -1.839391e-03 	-2.631940e-01 	 1.326007e-03 	 
-2.460064e-01 	 1.126988e-03 	-2.460064e-01 	 5.770774e-03 	-2.460064e-01 	 7.824259e-05 	-2.460064e-01 	 -1.988475e-03 	-2.587682e-01 	 1.256235e-03 	 
-2.416132e-01 	 1.063427e-03 	-2.416132e-01 	 5.598253e-03 	-2.416132e-01 	 -1.418769e-04 	-2.416132e-01 	 -2.143435e-03 	-2.543057e-01 	 1.184089e-03 	 
-2.371847e-01 	 8.783700e-04 	-2.371847e-01 	 5.573611e-03 	-2.371847e-01 	 -3.055821e-04 	-2.371847e-01 	 -2.298303e-03 	-2.498071e-01 	 1.122128e-03 	 
-2.327214e-01 	 6.925028e-04 	-2.327214e-01 	 5.425317e-03 	-2.327214e-01 	 -4.718493e-04 	-2.327214e-01 	 -2.461099e-03 	-2.452729e-01 	 1.053265e-03 	 
-2.282239e-01 	 6.404123e-04 	-2.282239e-01 	 5.140841e-03 	-2.282239e-01 	 -6.292097e-04 	-2.282239e-01 	 -2.632622e-03 	-2.407037e-01 	 9.733905e-04 	 
-2.236928e-01 	 8.113646e-04 	-2.236928e-01 	 4.915220e-03 	-2.236928e-01 	 -6.314185e-04 	-2.236928e-01 	 -2.782200e-03 	-2.361000e-01 	 9.079856e-04 	 
-2.191285e-01 	 1.068680e-03 	-2.191285e-01 	 4.737167e-03 	-2.191285e-01 	 -4.428039e-04 	-2.191285e-01 	 -2.866658e-03 	-2.314624e-01 	 8.692633e-04 	 
-2.145316e-01 	 1.020559e-03 	-2.145316e-01 	 4.456214e-03 	-2.145316e-01 	 -2.978706e-04 	-2.145316e-01 	 -2.879596e-03 	-2.267915e-01 	 8.278733e-04 	 
-2.099027e-01 	 5.299005e-04 	-2.099027e-01 	 4.154054e-03 	-2.099027e-01 	 -2.758291e-04 	-2.099027e-01 	 -2.880184e-03 	-2.220877e-01 	 7.325792e-04 	 
-2.052424e-01 	 1.917981e-05 	-2.052424e-01 	 4.017676e-03 	-2.052424e-01 	 -2.786502e-04 	-2.052424e-01 	 -2.927703e-03 	-2.173518e-01 	 5.643482e-04 	 
-2.005512e-01 	 -1.052483e-04 	-2.005512e-01 	 4.039137e-03 	-2.005512e-01 	 -3.544469e-04 	-2.005512e-01 	 -3.004699e-03 	-2.125842e-01 	 3.765336e-04 	 
-1.958298e-01 	 2.222562e-06 	-1.958298e-01 	 4.122158e-03 	-1.958298e-01 	 -4.822755e-04 	-1.958298e-01 	 -3.066843e-03 	-2.077857e-01 	 2.403295e-04 	 
-1.910787e-01 	 1.632837e-05 	-1.910787e-01 	 4.199345e-03 	-1.910787e-01 	 -4.922593e-04 	-1.910787e-01 	 -3.133933e-03 	-2.029568e-01 	 1.605263e-04 	 
-1.862985e-01 	 -9.312555e-05 	-1.862985e-01 	 4.151727e-03 	-1.862985e-01 	 -3.980579e-04 	-1.862985e-01 	 -3.233717e-03 	-1.980981e-01 	 1.040150e-04 	 
-1.814898e-01 	 -2.343645e-04 	-1.814898e-01 	 3.972386e-03 	-1.814898e-01 	 -3.787451e-04 	-1.814898e-01 	 -3.319439e-03 	-1.932102e-01 	 5.917187e-05 	 
