x0	T1	x1	T2	x2	T3	
2.093937e-02 	 -5.914635e-04 	2.093937e-02 	 -3.475452e-04 	2.093937e-02 	 -5.510247e-04 	 
2.631096e-02 	 -6.085936e-04 	2.631096e-02 	 -3.658522e-04 	2.631096e-02 	 -5.590403e-04 	 
3.168111e-02 	 -6.241063e-04 	3.168111e-02 	 -3.819593e-04 	3.168111e-02 	 -5.687970e-04 	 
3.704904e-02 	 -6.355661e-04 	3.704904e-02 	 -4.024394e-04 	3.704904e-02 	 -5.749141e-04 	 
4.241397e-02 	 -6.458156e-04 	4.241397e-02 	 -4.292106e-04 	4.241397e-02 	 -5.753036e-04 	 
4.777512e-02 	 -6.571980e-04 	4.777512e-02 	 -4.517932e-04 	4.777512e-02 	 -5.736936e-04 	 
5.313171e-02 	 -6.682489e-04 	5.313171e-02 	 -4.625829e-04 	5.313171e-02 	 -5.764711e-04 	 
5.848294e-02 	 -6.779596e-04 	5.848294e-02 	 -4.741493e-04 	5.848294e-02 	 -5.859465e-04 	 
6.382806e-02 	 -6.873208e-04 	6.382806e-02 	 -5.071254e-04 	6.382806e-02 	 -5.972657e-04 	 
6.916627e-02 	 -6.966088e-04 	6.916627e-02 	 -5.605663e-04 	6.916627e-02 	 -6.059580e-04 	 
7.449679e-02 	 -7.056424e-04 	7.449679e-02 	 -6.105760e-04 	7.449679e-02 	 -6.154695e-04 	 
7.981886e-02 	 -7.149864e-04 	7.981886e-02 	 -6.427262e-04 	7.981886e-02 	 -6.303592e-04 	 
8.513170e-02 	 -7.233550e-04 	8.513170e-02 	 -6.673916e-04 	8.513170e-02 	 -6.477272e-04 	 
9.043452e-02 	 -7.276401e-04 	9.043452e-02 	 -6.956183e-04 	9.043452e-02 	 -6.621126e-04 	 
9.572658e-02 	 -7.294494e-04 	9.572658e-02 	 -7.214944e-04 	9.572658e-02 	 -6.726868e-04 	 
1.010071e-01 	 -7.360628e-04 	1.010071e-01 	 -7.380262e-04 	1.010071e-01 	 -6.826723e-04 	 
1.062753e-01 	 -7.507221e-04 	1.062753e-01 	 -7.480575e-04 	1.062753e-01 	 -6.965956e-04 	 
1.115304e-01 	 -7.680194e-04 	1.115304e-01 	 -7.524485e-04 	1.115304e-01 	 -7.171615e-04 	 
1.167717e-01 	 -7.814589e-04 	1.167717e-01 	 -7.463721e-04 	1.167717e-01 	 -7.415966e-04 	 
1.219984e-01 	 -7.895360e-04 	1.219984e-01 	 -7.293160e-04 	1.219984e-01 	 -7.633806e-04 	 
1.272098e-01 	 -7.937643e-04 	1.272098e-01 	 -7.082220e-04 	1.272098e-01 	 -7.796041e-04 	 
1.324050e-01 	 -7.943203e-04 	1.324050e-01 	 -6.907081e-04 	1.324050e-01 	 -7.921527e-04 	 
1.375835e-01 	 -7.914810e-04 	1.375835e-01 	 -6.793134e-04 	1.375835e-01 	 -8.025964e-04 	 
1.427443e-01 	 -7.885626e-04 	1.427443e-01 	 -6.687280e-04 	1.427443e-01 	 -8.084389e-04 	 
1.478868e-01 	 -7.935701e-04 	1.478868e-01 	 -6.524170e-04 	1.478868e-01 	 -8.098180e-04 	 
1.530103e-01 	 -8.094909e-04 	1.530103e-01 	 -6.303961e-04 	1.530103e-01 	 -8.103941e-04 	 
1.581140e-01 	 -8.304688e-04 	1.581140e-01 	 -6.126605e-04 	1.581140e-01 	 -8.135473e-04 	 
1.631972e-01 	 -8.483471e-04 	1.631972e-01 	 -6.100988e-04 	1.631972e-01 	 -8.184265e-04 	 
1.682591e-01 	 -8.588217e-04 	1.682591e-01 	 -6.235000e-04 	1.682591e-01 	 -8.216007e-04 	 
1.732991e-01 	 -8.590707e-04 	1.732991e-01 	 -6.426240e-04 	1.732991e-01 	 -8.215602e-04 	 
1.783164e-01 	 -8.486239e-04 	1.783164e-01 	 -6.555008e-04 	1.783164e-01 	 -8.217242e-04 	 
1.833104e-01 	 -8.360430e-04 	1.833104e-01 	 -6.569582e-04 	1.833104e-01 	 -8.261511e-04 	 
1.882803e-01 	 -8.390833e-04 	1.882803e-01 	 -6.509734e-04 	1.882803e-01 	 -8.360171e-04 	 
1.932255e-01 	 -8.650469e-04 	1.932255e-01 	 -6.426885e-04 	1.932255e-01 	 -8.487871e-04 	 
1.981452e-01 	 -8.998729e-04 	1.981452e-01 	 -6.335386e-04 	1.981452e-01 	 -8.623177e-04 	 
2.030388e-01 	 -9.213806e-04 	2.030388e-01 	 -6.233278e-04 	2.030388e-01 	 -8.741785e-04 	 
2.079056e-01 	 -9.231988e-04 	2.079056e-01 	 -6.162404e-04 	2.079056e-01 	 -8.819236e-04 	 
2.127449e-01 	 -9.175527e-04 	2.127449e-01 	 -6.178154e-04 	2.127449e-01 	 -8.823812e-04 	 
2.175561e-01 	 -9.224853e-04 	2.175561e-01 	 -6.302838e-04 	2.175561e-01 	 -8.761632e-04 	 
2.223385e-01 	 -9.444436e-04 	2.223385e-01 	 -6.506463e-04 	2.223385e-01 	 -8.682340e-04 	 
2.270915e-01 	 -9.729674e-04 	2.270915e-01 	 -6.740143e-04 	2.270915e-01 	 -8.636305e-04 	 
2.318144e-01 	 -9.919293e-04 	2.318144e-01 	 -6.983127e-04 	2.318144e-01 	 -8.635146e-04 	 
