x0	G1	x1	G2	x2	G3	x3	G4	
-2.972248e-01 	 1.292420e-03 	-2.162856e-02 	 -1.445544e-03 	-1.954297e-01 	 8.780308e-05 	-1.954297e-01 	 2.363538e-04 	 
-2.931090e-01 	 1.263954e-03 	-1.243166e-02 	 -1.447058e-03 	-1.890924e-01 	 3.236420e-05 	-1.890924e-01 	 1.056476e-04 	 
-2.889528e-01 	 1.239667e-03 	-3.227059e-03 	 -1.489847e-03 	-1.827093e-01 	 -4.722328e-05 	-1.827093e-01 	 -2.283227e-05 	 
-2.847569e-01 	 1.212012e-03 	5.981486e-03 	 -1.549633e-03 	-1.762816e-01 	 -1.588600e-04 	-1.762816e-01 	 -1.190106e-04 	 
-2.805213e-01 	 1.170382e-03 	1.519025e-02 	 -1.572384e-03 	-1.698111e-01 	 -2.839473e-04 	-1.698112e-01 	 -1.695153e-04 	 
-2.762472e-01 	 1.133294e-03 	2.439550e-02 	 -1.511049e-03 	-1.632992e-01 	 -4.038778e-04 	-1.632993e-01 	 -1.821281e-04 	 
-2.719339e-01 	 1.114632e-03 	3.359352e-02 	 -1.357771e-03 	-1.567469e-01 	 -5.241492e-04 	-1.567469e-01 	 -2.074841e-04 	 
-2.675827e-01 	 1.083820e-03 	4.278051e-02 	 -1.170216e-03 	-1.501562e-01 	 -6.481591e-04 	-1.501562e-01 	 -2.903125e-04 	 
-2.631941e-01 	 1.021186e-03 	5.195282e-02 	 -9.985545e-04 	-1.435283e-01 	 -7.535098e-04 	-1.435283e-01 	 -3.993866e-04 	 
-2.587682e-01 	 9.579504e-04 	6.110670e-02 	 -8.435125e-04 	-1.368648e-01 	 -8.377719e-04 	-1.368648e-01 	 -4.831147e-04 	 
-2.543056e-01 	 9.127763e-04 	7.023842e-02 	 -7.148555e-04 	-1.301672e-01 	 -9.388632e-04 	-1.301672e-01 	 -5.497594e-04 	 
-2.498072e-01 	 8.620127e-04 	7.934441e-02 	 -6.342127e-04 	-1.234370e-01 	 -1.062858e-03 	-1.234370e-01 	 -6.285982e-04 	 
-2.452729e-01 	 7.970121e-04 	8.842079e-02 	 -5.920000e-04 	-1.166758e-01 	 -1.162924e-03 	-1.166758e-01 	 -7.025047e-04 	 
-2.407036e-01 	 7.367973e-04 	9.746398e-02 	 -5.607586e-04 	-1.098852e-01 	 -1.216424e-03 	-1.098851e-01 	 -7.330186e-04 	 
-2.361000e-01 	 6.820532e-04 	1.064704e-01 	 -5.222074e-04 	-1.030666e-01 	 -1.253244e-03 	-1.030667e-01 	 -7.340630e-04 	 
-2.314624e-01 	 6.129393e-04 	1.154363e-01 	 -4.671482e-04 	-9.622195e-02 	 -1.308185e-03 	-9.622186e-02 	 -7.593241e-04 	 
-2.267915e-01 	 5.245311e-04 	1.243584e-01 	 -4.053833e-04 	-8.935241e-02 	 -1.381922e-03 	-8.935242e-02 	 -8.173512e-04 	 
-2.220877e-01 	 4.456535e-04 	1.332328e-01 	 -3.663277e-04 	-8.245982e-02 	 -1.437029e-03 	-8.245984e-02 	 -8.679951e-04 	 
-2.173519e-01 	 4.071867e-04 	1.420560e-01 	 -3.625689e-04 	-7.554587e-02 	 -1.443509e-03 	-7.554585e-02 	 -9.007459e-04 	 
-2.125843e-01 	 3.941324e-04 	1.508245e-01 	 -3.734932e-04 	-6.861197e-02 	 -1.412167e-03 	-6.861199e-02 	 -9.506660e-04 	 
-2.077857e-01 	 3.659507e-04 	1.595352e-01 	 -3.733289e-04 	-6.165992e-02 	 -1.356291e-03 	-6.165996e-02 	 -1.035514e-03 	 
-2.029567e-01 	 3.119266e-04 	1.681843e-01 	 -3.587655e-04 	-5.469137e-02 	 -1.286505e-03 	-5.469140e-02 	 -1.126252e-03 	 
-1.980981e-01 	 2.403362e-04 	1.767682e-01 	 -3.498119e-04 	-4.770793e-02 	 -1.238416e-03 	-4.770793e-02 	 -1.188597e-03 	 
-1.932101e-01 	 1.467789e-04 	1.852841e-01 	 -3.634895e-04 	-4.071122e-02 	 -1.236713e-03 	-4.071124e-02 	 -1.217272e-03 	 
-1.882939e-01 	 3.429890e-05 	1.937283e-01 	 -3.934735e-04 	-3.370296e-02 	 -1.241940e-03 	-3.370295e-02 	 -1.226904e-03 	 
-1.833497e-01 	 -7.674726e-05 	2.020976e-01 	 -4.247318e-04 	-2.668478e-02 	 -1.197955e-03 	-2.668479e-02 	 -1.244206e-03 	 
