x0	8A00W11AoA20/	x1	8A15W11AoA20/	
3.312480e+01 	 3.960599e-01 	3.312497e+01 	 3.623684e-01 	 
3.324980e+01 	 3.957344e-01 	3.324984e+01 	 3.626679e-01 	 
3.337480e+01 	 3.955542e-01 	3.337484e+01 	 3.629499e-01 	 
3.349990e+01 	 3.955796e-01 	3.350000e+01 	 3.628735e-01 	 
3.362490e+01 	 3.955170e-01 	3.362495e+01 	 3.630585e-01 	 
3.375000e+01 	 3.953363e-01 	3.374987e+01 	 3.634748e-01 	 
3.387490e+01 	 3.947634e-01 	3.387490e+01 	 3.638875e-01 	 
3.399980e+01 	 3.935972e-01 	3.399994e+01 	 3.641886e-01 	 
3.412490e+01 	 3.921780e-01 	3.412500e+01 	 3.646324e-01 	 
3.424990e+01 	 3.906385e-01 	3.424989e+01 	 3.648490e-01 	 
3.437500e+01 	 3.888824e-01 	3.437491e+01 	 3.652623e-01 	 
3.449990e+01 	 3.873815e-01 	3.449997e+01 	 3.655951e-01 	 
3.462480e+01 	 3.861859e-01 	3.462499e+01 	 3.659975e-01 	 
3.474980e+01 	 3.855506e-01 	3.474988e+01 	 3.660498e-01 	 
3.487490e+01 	 3.849005e-01 	3.487497e+01 	 3.658694e-01 	 
3.500000e+01 	 3.840317e-01 	3.499999e+01 	 3.655094e-01 	 
3.512480e+01 	 3.833460e-01 	3.512483e+01 	 3.649886e-01 	 
3.524990e+01 	 3.831568e-01 	3.524985e+01 	 3.645416e-01 	 
3.537490e+01 	 3.830971e-01 	3.537484e+01 	 3.642803e-01 	 
3.549990e+01 	 3.831954e-01 	3.549994e+01 	 3.636220e-01 	 
3.562480e+01 	 3.831509e-01 	3.562493e+01 	 3.633228e-01 	 
3.574990e+01 	 3.826470e-01 	3.574989e+01 	 3.632625e-01 	 
3.587490e+01 	 3.821895e-01 	3.587500e+01 	 3.634372e-01 	 
3.600000e+01 	 3.817274e-01 	3.599994e+01 	 3.635476e-01 	 
3.612480e+01 	 3.816067e-01 	3.612499e+01 	 3.635645e-01 	 
3.625000e+01 	 3.815632e-01 	3.624998e+01 	 3.639257e-01 	 
3.637490e+01 	 3.822500e-01 	3.637498e+01 	 3.645303e-01 	 
3.649980e+01 	 3.830127e-01 	3.649997e+01 	 3.652496e-01 	 
3.662490e+01 	 3.834954e-01 	3.662484e+01 	 3.661138e-01 	 
3.674990e+01 	 3.843147e-01 	3.674992e+01 	 3.667224e-01 	 
3.687490e+01 	 3.850579e-01 	3.687496e+01 	 3.673078e-01 	 
