x0	delta	x1	wle	x2	sle	
2.274296e-01 	 -6.329640e-05 	2.274296e-01 	 -1.013252e-03 	2.274296e-01 	 -9.499557e-04 	 
2.320316e-01 	 -6.377625e-05 	2.320316e-01 	 -1.013361e-03 	2.320316e-01 	 -9.495850e-04 	 
2.365978e-01 	 -6.421819e-05 	2.365978e-01 	 -1.013144e-03 	2.365978e-01 	 -9.489262e-04 	 
2.411274e-01 	 -6.461441e-05 	2.411274e-01 	 -1.012598e-03 	2.411274e-01 	 -9.479837e-04 	 
2.456199e-01 	 -6.497145e-05 	2.456199e-01 	 -1.011722e-03 	2.456199e-01 	 -9.467503e-04 	 
2.500748e-01 	 -6.527651e-05 	2.500748e-01 	 -1.010505e-03 	2.500748e-01 	 -9.452289e-04 	 
2.544913e-01 	 -6.553918e-05 	2.544913e-01 	 -1.008963e-03 	2.544913e-01 	 -9.434241e-04 	 
2.588691e-01 	 -6.576045e-05 	2.588691e-01 	 -1.007115e-03 	2.588691e-01 	 -9.413546e-04 	 
2.632074e-01 	 -6.595691e-05 	2.632074e-01 	 -1.004951e-03 	2.632074e-01 	 -9.389942e-04 	 
2.675058e-01 	 -6.610428e-05 	2.675058e-01 	 -1.002453e-03 	2.675058e-01 	 -9.363489e-04 	 
2.717636e-01 	 -6.617674e-05 	2.717636e-01 	 -9.996232e-04 	2.717636e-01 	 -9.334465e-04 	 
