x0	LES	x1	Jones2008	
4.357281e+01 	 2.252698e-08 	8.710801e+01 	 3.898187e-09 	 
4.374780e+01 	 5.170448e-08 	8.745645e+01 	 5.133335e-09 	 
4.392280e+01 	 5.478418e-08 	8.780488e+01 	 1.342657e-08 	 
4.409779e+01 	 5.569972e-08 	8.815331e+01 	 1.582429e-08 	 
4.427278e+01 	 5.197306e-08 	8.850174e+01 	 1.516935e-08 	 
4.444777e+01 	 5.874201e-08 	8.885017e+01 	 9.765880e-09 	 
4.462276e+01 	 8.181629e-08 	8.919861e+01 	 5.670433e-09 	 
4.479775e+01 	 4.735932e-08 	8.954704e+01 	 9.811135e-09 	 
4.497274e+01 	 4.977005e-08 	8.989547e+01 	 6.184244e-09 	 
4.514773e+01 	 6.663206e-08 	9.024390e+01 	 5.027742e-09 	 
4.532273e+01 	 4.417132e-08 	9.059233e+01 	 1.005956e-08 	 
4.549772e+01 	 5.418092e-08 	9.094077e+01 	 9.242567e-09 	 
4.567271e+01 	 4.750896e-08 	9.128920e+01 	 7.968541e-09 	 
4.584770e+01 	 3.954729e-08 	9.163763e+01 	 1.488380e-08 	 
4.602269e+01 	 2.674822e-08 	9.198606e+01 	 1.277189e-08 	 
4.619768e+01 	 3.024445e-08 	9.233449e+01 	 9.261194e-09 	 
4.637267e+01 	 2.066024e-08 	9.268293e+01 	 1.084830e-08 	 
4.654766e+01 	 2.050800e-08 	9.303136e+01 	 1.398818e-08 	 
4.672265e+01 	 3.087126e-08 	9.337979e+01 	 9.694414e-09 	 
4.689765e+01 	 1.709631e-08 	9.372822e+01 	 3.856271e-09 	 
4.707264e+01 	 3.580602e-08 	9.407666e+01 	 4.515810e-09 	 
4.724763e+01 	 3.131628e-08 	9.442509e+01 	 3.268756e-09 	 
4.742262e+01 	 1.634061e-08 	9.477352e+01 	 3.028097e-09 	 
4.759761e+01 	 2.813679e-08 	9.512195e+01 	 5.131159e-09 	 
4.777260e+01 	 2.071776e-08 	9.547038e+01 	 9.469527e-09 	 
4.794759e+01 	 2.601171e-08 	9.581882e+01 	 1.069474e-08 	 
4.812258e+01 	 4.090230e-08 	9.616725e+01 	 1.105763e-08 	 
4.829758e+01 	 4.213743e-08 	9.651568e+01 	 8.814920e-09 	 
4.847257e+01 	 4.673496e-08 	9.686411e+01 	 4.803870e-09 	 
4.864756e+01 	 1.928032e-08 	9.721254e+01 	 7.504461e-09 	 
4.882255e+01 	 1.126080e-08 	9.756098e+01 	 8.573202e-09 	 
