x0	cdp	x1	cdv	
2.374990e+01 	 3.660321e-01 	2.374990e+01 	 5.434100e-03 	 
2.387490e+01 	 3.666405e-01 	2.387490e+01 	 5.366200e-03 	 
2.399990e+01 	 3.687755e-01 	2.399990e+01 	 5.263100e-03 	 
2.412500e+01 	 3.704420e-01 	2.412500e+01 	 5.141300e-03 	 
2.424990e+01 	 3.698651e-01 	2.424990e+01 	 5.059800e-03 	 
2.437500e+01 	 3.713785e-01 	2.437500e+01 	 4.923200e-03 	 
2.449980e+01 	 3.751793e-01 	2.449980e+01 	 4.771400e-03 	 
2.462490e+01 	 3.823262e-01 	2.462490e+01 	 4.633700e-03 	 
2.474990e+01 	 3.900110e-01 	2.474990e+01 	 4.467200e-03 	 
2.487490e+01 	 3.951341e-01 	2.487490e+01 	 4.303300e-03 	 
2.499990e+01 	 3.969303e-01 	2.499990e+01 	 4.162400e-03 	 
2.512490e+01 	 4.006250e-01 	2.512490e+01 	 4.023700e-03 	 
2.524990e+01 	 4.035535e-01 	2.524990e+01 	 3.867300e-03 	 
2.537490e+01 	 4.069244e-01 	2.537490e+01 	 3.725000e-03 	 
2.549990e+01 	 4.132207e-01 	2.549990e+01 	 3.601500e-03 	 
2.562500e+01 	 4.203232e-01 	2.562500e+01 	 3.550300e-03 	 
2.574980e+01 	 4.276555e-01 	2.574980e+01 	 3.497500e-03 	 
2.587500e+01 	 4.324267e-01 	2.587500e+01 	 3.464400e-03 	 
2.599990e+01 	 4.366608e-01 	2.599990e+01 	 3.485300e-03 	 
2.612480e+01 	 4.407682e-01 	2.612480e+01 	 3.512400e-03 	 
2.624990e+01 	 4.450668e-01 	2.624990e+01 	 3.521300e-03 	 
2.637490e+01 	 4.485325e-01 	2.637490e+01 	 3.525000e-03 	 
2.650000e+01 	 4.516842e-01 	2.650000e+01 	 3.564000e-03 	 
2.662490e+01 	 4.534132e-01 	2.662490e+01 	 3.654000e-03 	 
2.674990e+01 	 4.510372e-01 	2.674990e+01 	 3.794300e-03 	 
2.687490e+01 	 4.464382e-01 	2.687490e+01 	 3.935500e-03 	 
2.699980e+01 	 4.425320e-01 	2.699980e+01 	 4.114800e-03 	 
2.712490e+01 	 4.373125e-01 	2.712490e+01 	 4.326400e-03 	 
2.725000e+01 	 4.349438e-01 	2.725000e+01 	 4.531500e-03 	 
2.737490e+01 	 4.331387e-01 	2.737490e+01 	 4.748100e-03 	 
2.749990e+01 	 4.289518e-01 	2.749990e+01 	 5.011800e-03 	 
2.762490e+01 	 4.299059e-01 	2.762490e+01 	 5.236400e-03 	 
2.774990e+01 	 4.294068e-01 	2.774990e+01 	 5.480900e-03 	 
2.787480e+01 	 4.298915e-01 	2.787480e+01 	 5.750500e-03 	 
2.799980e+01 	 4.332112e-01 	2.799980e+01 	 5.948200e-03 	 
2.812490e+01 	 4.331070e-01 	2.812490e+01 	 6.136600e-03 	 
2.824990e+01 	 4.330048e-01 	2.824990e+01 	 6.266500e-03 	 
