x0	delta	x1	wle	x2	sle	
-1.641766e-01 	 -9.858918e-06 	-1.641766e-01 	 3.708364e-04 	-1.641766e-01 	 3.806953e-04 	 
-1.596576e-01 	 -1.046962e-05 	-1.596576e-01 	 3.702666e-04 	-1.596576e-01 	 3.807362e-04 	 
-1.551165e-01 	 -1.098727e-05 	-1.551165e-01 	 3.697244e-04 	-1.551165e-01 	 3.807117e-04 	 
-1.505539e-01 	 -1.145288e-05 	-1.505539e-01 	 3.692086e-04 	-1.505539e-01 	 3.806615e-04 	 
-1.459702e-01 	 -1.186639e-05 	-1.459702e-01 	 3.687059e-04 	-1.459702e-01 	 3.805723e-04 	 
-1.413661e-01 	 -1.225262e-05 	-1.413661e-01 	 3.682190e-04 	-1.413661e-01 	 3.804716e-04 	 
-1.367422e-01 	 -1.257017e-05 	-1.367422e-01 	 3.677454e-04 	-1.367422e-01 	 3.803155e-04 	 
-1.320991e-01 	 -1.283510e-05 	-1.320991e-01 	 3.673236e-04 	-1.320991e-01 	 3.801587e-04 	 
-1.274373e-01 	 -1.297398e-05 	-1.274373e-01 	 3.669767e-04 	-1.274373e-01 	 3.799506e-04 	 
-1.227574e-01 	 -1.310967e-05 	-1.227574e-01 	 3.666096e-04 	-1.227574e-01 	 3.797192e-04 	 
-1.180600e-01 	 -1.326950e-05 	-1.180600e-01 	 3.661956e-04 	-1.180600e-01 	 3.794651e-04 	 
-1.133458e-01 	 -1.335554e-05 	-1.133458e-01 	 3.658190e-04 	-1.133458e-01 	 3.791745e-04 	 
-1.086154e-01 	 -1.337967e-05 	-1.086154e-01 	 3.654770e-04 	-1.086154e-01 	 3.788566e-04 	 
-1.038693e-01 	 -1.333946e-05 	-1.038693e-01 	 3.651306e-04 	-1.038693e-01 	 3.784701e-04 	 
-9.910810e-02 	 -1.323000e-05 	-9.910810e-02 	 3.648213e-04 	-9.910810e-02 	 3.780513e-04 	 
-9.433254e-02 	 -1.305053e-05 	-9.433254e-02 	 3.645462e-04 	-9.433254e-02 	 3.775967e-04 	 
-8.954315e-02 	 -1.288487e-05 	-8.954315e-02 	 3.642312e-04 	-8.954315e-02 	 3.771160e-04 	 
-8.474056e-02 	 -1.272649e-05 	-8.474056e-02 	 3.638754e-04 	-8.474056e-02 	 3.766019e-04 	 
-7.992543e-02 	 -1.252001e-05 	-7.992543e-02 	 3.635340e-04 	-7.992543e-02 	 3.760540e-04 	 
-7.509834e-02 	 -1.227160e-05 	-7.509834e-02 	 3.631944e-04 	-7.509834e-02 	 3.754660e-04 	 
-7.025996e-02 	 -1.203528e-05 	-7.025996e-02 	 3.628120e-04 	-7.025996e-02 	 3.748473e-04 	 
-6.541089e-02 	 -1.182049e-05 	-6.541089e-02 	 3.623675e-04 	-6.541089e-02 	 3.741880e-04 	 
-6.055178e-02 	 -1.161913e-05 	-6.055178e-02 	 3.618754e-04 	-6.055178e-02 	 3.734945e-04 	 
-5.568326e-02 	 -1.139750e-05 	-5.568326e-02 	 3.613668e-04 	-5.568326e-02 	 3.727643e-04 	 
-5.080596e-02 	 -1.113182e-05 	-5.080596e-02 	 3.608623e-04 	-5.080596e-02 	 3.719941e-04 	 
-4.592052e-02 	 -1.080100e-05 	-4.592052e-02 	 3.603475e-04 	-4.592052e-02 	 3.711485e-04 	 
-4.102761e-02 	 -1.045216e-05 	-4.102761e-02 	 3.598072e-04 	-4.102761e-02 	 3.702594e-04 	 
-3.612784e-02 	 -1.008172e-05 	-3.612784e-02 	 3.592436e-04 	-3.612784e-02 	 3.693253e-04 	 
-3.122187e-02 	 -9.688315e-06 	-3.122187e-02 	 3.586747e-04 	-3.122187e-02 	 3.683630e-04 	 
-2.631034e-02 	 -9.257226e-06 	-2.631034e-02 	 3.581012e-04 	-2.631034e-02 	 3.673584e-04 	 
-2.139390e-02 	 -8.805200e-06 	-2.139390e-02 	 3.575111e-04 	-2.139390e-02 	 3.663163e-04 	 
-1.647321e-02 	 -8.337009e-06 	-1.647321e-02 	 3.569066e-04 	-1.647321e-02 	 3.652437e-04 	 
-1.154890e-02 	 -7.846609e-06 	-1.154890e-02 	 3.562720e-04 	-1.154890e-02 	 3.641186e-04 	 
-6.621640e-03 	 -7.370694e-06 	-6.621640e-03 	 3.555868e-04 	-6.621640e-03 	 3.629575e-04 	 
-1.692079e-03 	 -6.892083e-06 	-1.692079e-03 	 3.548647e-04 	-1.692079e-03 	 3.617568e-04 	 
3.239136e-03 	 -6.404501e-06 	3.239136e-03 	 3.541100e-04 	3.239136e-03 	 3.605145e-04 	 
8.171346e-03 	 -5.960090e-06 	8.171346e-03 	 3.532815e-04 	8.171346e-03 	 3.592416e-04 	 
1.310390e-02 	 -5.543941e-06 	1.310390e-02 	 3.523595e-04 	1.310390e-02 	 3.579034e-04 	 
1.803613e-02 	 -5.143176e-06 	1.803613e-02 	 3.513683e-04 	1.803613e-02 	 3.565115e-04 	 
2.296739e-02 	 -4.780894e-06 	2.296739e-02 	 3.502995e-04 	2.296739e-02 	 3.550804e-04 	 
2.789702e-02 	 -4.464559e-06 	2.789702e-02 	 3.491486e-04 	2.789702e-02 	 3.536132e-04 	 
3.282437e-02 	 -4.184503e-06 	3.282437e-02 	 3.479320e-04 	3.282437e-02 	 3.521165e-04 	 
3.774877e-02 	 -3.948044e-06 	3.774877e-02 	 3.466433e-04 	3.774877e-02 	 3.505914e-04 	 
4.266956e-02 	 -3.748480e-06 	4.266956e-02 	 3.452790e-04 	4.266956e-02 	 3.490274e-04 	 
4.758611e-02 	 -3.563917e-06 	4.758611e-02 	 3.438710e-04 	4.758611e-02 	 3.474349e-04 	 
5.249774e-02 	 -3.382957e-06 	5.249774e-02 	 3.424338e-04 	5.249774e-02 	 3.458168e-04 	 
5.740380e-02 	 -3.200710e-06 	5.740380e-02 	 3.409644e-04 	5.740380e-02 	 3.441651e-04 	 
6.230363e-02 	 -3.022325e-06 	6.230363e-02 	 3.394549e-04 	6.230363e-02 	 3.424772e-04 	 
6.719658e-02 	 -2.885255e-06 	6.719658e-02 	 3.378773e-04 	6.719658e-02 	 3.407626e-04 	 
7.208199e-02 	 -2.780188e-06 	7.208199e-02 	 3.362365e-04 	7.208199e-02 	 3.390167e-04 	 
7.695921e-02 	 -2.658863e-06 	7.695921e-02 	 3.345407e-04 	7.695921e-02 	 3.371996e-04 	 
