t     p     U
  0.3796253E+03       0.6939316E+00       0.3817827E+00
  0.3797502E+03       0.6938968E+00       0.3819223E+00
  0.3798752E+03       0.6939594E+00       0.3818403E+00
  0.3800002E+03       0.6939533E+00       0.3817190E+00
  0.3801252E+03       0.6939642E+00       0.3815298E+00
  0.3802502E+03       0.6937781E+00       0.3815826E+00
  0.3803753E+03       0.6938192E+00       0.3814746E+00
  0.3805003E+03       0.6931894E+00       0.3820669E+00
  0.3806252E+03       0.6926677E+00       0.3825835E+00
  0.3807502E+03       0.6914169E+00       0.3838066E+00
  0.3808753E+03       0.6893389E+00       0.3865821E+00
  0.3810002E+03       0.6876763E+00       0.3893483E+00
  0.3811253E+03       0.6866626E+00       0.3912663E+00
  0.3812502E+03       0.6858546E+00       0.3929308E+00
  0.3813752E+03       0.6848434E+00       0.3946962E+00
  0.3815002E+03       0.6840268E+00       0.3963727E+00
  0.3816252E+03       0.6831847E+00       0.3981581E+00
  0.3817503E+03       0.6830791E+00       0.3990763E+00
  0.3818753E+03       0.6830058E+00       0.3996933E+00
  0.3820002E+03       0.6826911E+00       0.4005735E+00
