x0	T1	x1	T2	x2	T3	x3	avg	
0.17330 	 -0.52270 	0.17330 	 -0.52651 	0.17330 	 -0.53008 	0.17330 	 -0.52643 	 
0.17832 	 -0.52681 	0.17832 	 -0.52386 	0.17832 	 -0.53106 	0.17832 	 -0.52724 	 
0.18331 	 -0.53319 	0.18331 	 -0.52299 	0.18331 	 -0.53178 	0.18331 	 -0.52932 	 
0.18828 	 -0.54038 	0.18828 	 -0.52407 	0.18828 	 -0.53252 	0.18828 	 -0.53232 	 
0.19323 	 -0.54468 	0.19323 	 -0.52582 	0.19323 	 -0.53365 	0.19323 	 -0.53472 	 
0.19814 	 -0.54341 	0.19814 	 -0.52753 	0.19814 	 -0.53510 	0.19814 	 -0.53535 	 
0.20304 	 -0.53837 	0.20304 	 -0.52966 	0.20304 	 -0.53650 	0.20304 	 -0.53484 	 
0.20791 	 -0.53409 	0.20791 	 -0.53214 	0.20791 	 -0.53773 	0.20791 	 -0.53465 	 
0.21274 	 -0.53349 	0.21274 	 -0.53334 	0.21274 	 -0.53896 	0.21274 	 -0.53526 	 
0.21756 	 -0.53534 	0.21756 	 -0.53218 	0.21756 	 -0.54026 	0.21756 	 -0.53593 	 
0.22234 	 -0.53628 	0.22234 	 -0.52983 	0.22234 	 -0.54141 	0.22234 	 -0.53584 	 
0.22709 	 -0.53523 	0.22709 	 -0.52819 	0.22709 	 -0.54205 	0.22709 	 -0.53516 	 
0.23181 	 -0.53419 	0.23181 	 -0.52804 	0.23181 	 -0.54212 	0.23181 	 -0.53478 	 
0.23651 	 -0.53523 	0.23651 	 -0.52901 	0.23651 	 -0.54183 	0.23651 	 -0.53536 	 
0.24117 	 -0.53821 	0.24117 	 -0.53026 	0.24117 	 -0.54144 	0.24117 	 -0.53664 	 
0.24580 	 -0.54104 	0.24580 	 -0.53151 	0.24580 	 -0.54109 	0.24580 	 -0.53788 	 
0.25039 	 -0.54229 	0.25039 	 -0.53292 	0.25039 	 -0.54069 	0.25039 	 -0.53863 	 
0.25496 	 -0.54241 	0.25496 	 -0.53417 	0.25496 	 -0.54008 	0.25496 	 -0.53889 	 
0.25949 	 -0.54245 	0.25949 	 -0.53507 	0.25949 	 -0.53983 	0.25949 	 -0.53912 	 
0.26398 	 -0.54265 	0.26398 	 -0.53593 	0.26398 	 -0.54102 	0.26398 	 -0.53987 	 
0.26844 	 -0.54269 	0.26844 	 -0.53665 	0.26844 	 -0.54341 	0.26844 	 -0.54092 	 
0.27287 	 -0.54261 	0.27287 	 -0.53675 	0.27287 	 -0.54479 	0.27287 	 -0.54138 	 
0.27725 	 -0.54292 	0.27725 	 -0.53621 	0.27725 	 -0.54319 	0.27725 	 -0.54077 	 
0.28161 	 -0.54335 	0.28161 	 -0.53534 	0.28161 	 -0.53920 	0.28161 	 -0.53930 	 
0.28592 	 -0.54298 	0.28592 	 -0.53436 	0.28592 	 -0.53563 	0.28592 	 -0.53766 	 
0.29020 	 -0.54189 	0.29020 	 -0.53333 	0.29020 	 -0.53449 	0.29020 	 -0.53657 	 
0.29444 	 -0.54126 	0.29444 	 -0.53216 	0.29444 	 -0.53524 	0.29444 	 -0.53622 	 
0.29864 	 -0.54159 	0.29864 	 -0.53100 	0.29864 	 -0.53658 	0.29864 	 -0.53639 	 
0.30280 	 -0.54222 	0.30280 	 -0.53021 	0.30280 	 -0.53772 	0.30280 	 -0.53672 	 
0.30692 	 -0.54222 	0.30692 	 -0.52978 	0.30692 	 -0.53816 	0.30692 	 -0.53672 	 
0.31100 	 -0.54134 	0.31100 	 -0.52922 	0.31100 	 -0.53784 	0.31100 	 -0.53613 	 
0.31504 	 -0.53972 	0.31504 	 -0.52809 	0.31504 	 -0.53707 	0.31504 	 -0.53496 	 
0.31904 	 -0.53781 	0.31904 	 -0.52624 	0.31904 	 -0.53612 	0.31904 	 -0.53339 	 
0.32300 	 -0.53622 	0.32300 	 -0.52389 	0.32300 	 -0.53534 	0.32300 	 -0.53182 	 
0.32692 	 -0.53504 	0.32692 	 -0.52164 	0.32692 	 -0.53517 	0.32692 	 -0.53062 	 
0.33079 	 -0.53432 	0.33079 	 -0.52011 	0.33079 	 -0.53600 	0.33079 	 -0.53014 	 
0.33463 	 -0.53476 	0.33463 	 -0.51916 	0.33463 	 -0.53712 	0.33463 	 -0.53034 	 
