"Density" "Momentum:0" "Momentum:1" "Momentum:2" "StagnationEnergy" "Pressure" "Points:0" "Points:1" "Points:2" "Density" "Momentum:0" "Momentum:1" "Momentum:2" "StagnationEnergy" "Pressure" "Points:0" "Points:1" "Points:2"
-7.43909e-03 -3.02663e-04 -1.98932e-04 -2.22284e-04 -1.36785e+00 -5.47137e-01 -4.25591e-01 7.28760e-02 0.00000e+00 -7.43909e-03 -3.02663e-04 -1.98932e-04 -2.22284e-04 -1.36785e+00 -5.47137e-01 -4.25591e-01 7.28760e-02 0.00000e+00
-6.70864e-03 -2.71285e-04 -1.82966e-04 -2.13206e-04 -1.35327e+00 -5.41305e-01 -4.23709e-01 7.27936e-02 -2.20000e-03 -6.70864e-03 -2.71285e-04 -1.82966e-04 -2.13206e-04 -1.35327e+00 -5.41305e-01 -4.23709e-01 7.27936e-02 -2.20000e-03
-5.93645e-03 -2.36749e-04 -1.68600e-04 -2.21154e-04 -1.33072e+00 -5.32285e-01 -4.21857e-01 7.27125e-02 -4.40000e-03 -5.93645e-03 -2.36749e-04 -1.68600e-04 -2.21154e-04 -1.33072e+00 -5.32285e-01 -4.21857e-01 7.27125e-02 -4.40000e-03
-4.03975e-03 -1.52059e-04 -1.36216e-04 -2.22515e-04 -1.31007e+00 -5.24023e-01 -4.20063e-01 7.26340e-02 -6.60000e-03 -4.03975e-03 -1.52059e-04 -1.36216e-04 -2.22515e-04 -1.31007e+00 -5.24023e-01 -4.20063e-01 7.26340e-02 -6.60000e-03
-2.54735e-03 -1.09128e-04 -4.96685e-05 -6.82188e-06 -1.32966e+00 -5.31862e-01 -4.18356e-01 7.25594e-02 -8.80000e-03 -2.54735e-03 -1.09128e-04 -4.96685e-05 -6.82188e-06 -1.32966e+00 -5.31862e-01 -4.18356e-01 7.25594e-02 -8.80000e-03
-3.24027e-03 -1.82310e-04 5.29940e-05 4.11188e-04 -1.36331e+00 -5.45312e-01 -4.16764e-01 7.24897e-02 -1.10000e-02 -3.24027e-03 -1.82310e-04 5.29940e-05 4.11188e-04 -1.36331e+00 -5.45312e-01 -4.16764e-01 7.24897e-02 -1.10000e-02
-3.52377e-03 -2.09756e-04 9.09444e-05 6.22114e-04 -1.36112e+00 -5.44424e-01 -4.15310e-01 7.24261e-02 -1.32000e-02 -3.52377e-03 -2.09756e-04 9.09444e-05 6.22114e-04 -1.36112e+00 -5.44424e-01 -4.15310e-01 7.24261e-02 -1.32000e-02
-2.46692e-03 -1.48100e-04 6.92927e-05 5.33499e-04 -1.35695e+00 -5.42754e-01 -4.14019e-01 7.23695e-02 -1.54000e-02 -2.46692e-03 -1.48100e-04 6.92927e-05 5.33499e-04 -1.35695e+00 -5.42754e-01 -4.14019e-01 7.23695e-02 -1.54000e-02
-3.66070e-03 -1.89117e-04 2.58505e-05 5.01670e-04 -1.36662e+00 -5.46634e-01 -4.12910e-01 7.23210e-02 -1.76000e-02 -3.66070e-03 -1.89117e-04 2.58505e-05 5.01670e-04 -1.36662e+00 -5.46634e-01 -4.12910e-01 7.23210e-02 -1.76000e-02
-6.70765e-03 -3.14020e-04 -3.25705e-05 5.71169e-04 -1.36191e+00 -5.44752e-01 -4.12001e-01 7.22812e-02 -1.98000e-02 -6.70765e-03 -3.14020e-04 -3.25705e-05 5.71169e-04 -1.36191e+00 -5.44752e-01 -4.12001e-01 7.22812e-02 -1.98000e-02
-7.54842e-03 -3.38519e-04 -7.08644e-05 5.38282e-04 -1.36796e+00 -5.47174e-01 -4.11306e-01 7.22508e-02 -2.20000e-02 -7.54842e-03 -3.38519e-04 -7.08644e-05 5.38282e-04 -1.36796e+00 -5.47174e-01 -4.11306e-01 7.22508e-02 -2.20000e-02
