"Result"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"Density"	"StagnationEnergy"	"Pressure"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
-1.50437e+00	5.87355e-01	2.70596e-01	1.74926e-04	8.76278e-01	5.93936e-01	1.42122e-01	1	1.27000e-01	-4.50000e-01	1.27000e-01	-8.25000e-02
-1.49637e+00	5.86811e-01	2.69088e-01	1.76607e-04	8.76952e-01	5.94576e-01	1.42783e-01	1	1.28000e-01	-4.50000e-01	1.28000e-01	-8.25000e-02
-1.48849e+00	5.86267e-01	2.67607e-01	1.77091e-04	8.77617e-01	5.95207e-01	1.43434e-01	1	1.29000e-01	-4.50000e-01	1.29000e-01	-8.25000e-02
-1.48069e+00	5.85723e-01	2.66147e-01	1.76548e-04	8.78275e-01	5.95831e-01	1.44077e-01	1	1.30000e-01	-4.50000e-01	1.30000e-01	-8.25000e-02
-1.47291e+00	5.85172e-01	2.64699e-01	1.74232e-04	8.78929e-01	5.96453e-01	1.44718e-01	1	1.31000e-01	-4.50000e-01	1.31000e-01	-8.25000e-02
-1.46526e+00	5.84621e-01	2.63279e-01	1.70191e-04	8.79574e-01	5.97065e-01	1.45348e-01	1	1.32000e-01	-4.50000e-01	1.32000e-01	-8.25000e-02
-1.45765e+00	5.84069e-01	2.61872e-01	1.65371e-04	8.80215e-01	5.97673e-01	1.45974e-01	1	1.33000e-01	-4.50000e-01	1.33000e-01	-8.25000e-02
-1.45015e+00	5.83519e-01	2.60487e-01	1.59529e-04	8.80847e-01	5.98274e-01	1.46591e-01	1	1.34000e-01	-4.50000e-01	1.34000e-01	-8.25000e-02
-1.44273e+00	5.82970e-01	2.59122e-01	1.52826e-04	8.81472e-01	5.98868e-01	1.47200e-01	1	1.35000e-01	-4.50000e-01	1.35000e-01	-8.25000e-02
-1.43535e+00	5.82421e-01	2.57770e-01	1.45453e-04	8.82092e-01	5.99458e-01	1.47805e-01	1	1.36000e-01	-4.50000e-01	1.36000e-01	-8.25000e-02
-1.42810e+00	5.81876e-01	2.56444e-01	1.37111e-04	8.82702e-01	6.00037e-01	1.48398e-01	1	1.37000e-01	-4.50000e-01	1.37000e-01	-8.25000e-02
-1.42090e+00	5.81331e-01	2.55130e-01	1.28236e-04	8.83308e-01	6.00614e-01	1.48988e-01	1	1.38000e-01	-4.50000e-01	1.38000e-01	-8.25000e-02
-1.41378e+00	5.80789e-01	2.53835e-01	1.18670e-04	8.83906e-01	6.01183e-01	1.49569e-01	1	1.39000e-01	-4.50000e-01	1.39000e-01	-8.25000e-02
-1.40674e+00	5.80248e-01	2.52557e-01	1.08559e-04	8.84498e-01	6.01747e-01	1.50143e-01	1	1.40000e-01	-4.50000e-01	1.40000e-01	-8.25000e-02
-1.39974e+00	5.79708e-01	2.51290e-01	9.80604e-05	8.85086e-01	6.02307e-01	1.50714e-01	1	1.41000e-01	-4.50000e-01	1.41000e-01	-8.25000e-02
-1.39286e+00	5.79170e-01	2.50045e-01	8.69784e-05	8.85664e-01	6.02857e-01	1.51274e-01	1	1.42000e-01	-4.50000e-01	1.42000e-01	-8.25000e-02
-1.38601e+00	5.78633e-01	2.48811e-01	7.56303e-05	8.86238e-01	6.03405e-01	1.51831e-01	1	1.43000e-01	-4.50000e-01	1.43000e-01	-8.25000e-02
-1.37923e+00	5.78100e-01	2.47593e-01	6.39666e-05	8.86807e-01	6.03947e-01	1.52380e-01	1	1.44000e-01	-4.50000e-01	1.44000e-01	-8.25000e-02
-1.37254e+00	5.77567e-01	2.46391e-01	5.21375e-05	8.87369e-01	6.04483e-01	1.52924e-01	1	1.45000e-01	-4.50000e-01	1.45000e-01	-8.25000e-02
-1.36588e+00	5.77034e-01	2.45196e-01	4.01995e-05	8.87928e-01	6.05016e-01	1.53464e-01	1	1.46000e-01	-4.50000e-01	1.46000e-01	-8.25000e-02
-1.35931e+00	5.76500e-01	2.44021e-01	2.81356e-05	8.88479e-01	6.05541e-01	1.53997e-01	1	1.47000e-01	-4.50000e-01	1.47000e-01	-8.25000e-02
-1.35278e+00	5.75970e-01	2.42856e-01	1.60830e-05	8.89027e-01	6.06063e-01	1.54525e-01	1	1.48000e-01	-4.50000e-01	1.48000e-01	-8.25000e-02
-1.34632e+00	5.75447e-01	2.41706e-01	4.09140e-06	8.89568e-01	6.06580e-01	1.55047e-01	1	1.49000e-01	-4.50000e-01	1.49000e-01	-8.25000e-02
-1.33992e+00	5.74922e-01	2.40567e-01	-7.60929e-06	8.90105e-01	6.07092e-01	1.55563e-01	1	1.50000e-01	-4.50000e-01	1.50000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.51000e-01	-4.50000e-01	1.51000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.52000e-01	-4.50000e-01	1.52000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.53000e-01	-4.50000e-01	1.53000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.54000e-01	-4.50000e-01	1.54000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.55000e-01	-4.50000e-01	1.55000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.56000e-01	-4.50000e-01	1.56000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.57000e-01	-4.50000e-01	1.57000e-01	-8.25000e-02
