x0	BtSide	x1	UpSide	
4.723880e-01 	 6.737110e-03 	4.723880e-01 	 -6.737110e-03 	 
4.736740e-01 	 6.428470e-03 	4.736740e-01 	 -6.428470e-03 	 
4.749190e-01 	 6.129070e-03 	4.749190e-01 	 -6.129070e-03 	 
4.761250e-01 	 5.838820e-03 	4.761250e-01 	 -5.838820e-03 	 
4.772920e-01 	 5.557590e-03 	4.772920e-01 	 -5.557590e-03 	 
4.784200e-01 	 5.285290e-03 	4.784200e-01 	 -5.285290e-03 	 
4.795100e-01 	 5.021780e-03 	4.795100e-01 	 -5.021780e-03 	 
4.805620e-01 	 4.766950e-03 	4.805620e-01 	 -4.766950e-03 	 
4.815780e-01 	 4.520640e-03 	4.815780e-01 	 -4.520640e-03 	 
4.825590e-01 	 4.282720e-03 	4.825590e-01 	 -4.282720e-03 	 
4.835040e-01 	 4.053030e-03 	4.835040e-01 	 -4.053030e-03 	 
4.844150e-01 	 3.831410e-03 	4.844150e-01 	 -3.831410e-03 	 
4.852920e-01 	 3.617700e-03 	4.852920e-01 	 -3.617700e-03 	 
4.861370e-01 	 3.411700e-03 	4.861370e-01 	 -3.411700e-03 	 
4.869500e-01 	 3.213250e-03 	4.869500e-01 	 -3.213250e-03 	 
4.877330e-01 	 3.022150e-03 	4.877330e-01 	 -3.022150e-03 	 
4.884850e-01 	 2.838190e-03 	4.884850e-01 	 -2.838190e-03 	 
4.892080e-01 	 2.661170e-03 	4.892080e-01 	 -2.661170e-03 	 
4.899030e-01 	 2.490880e-03 	4.899030e-01 	 -2.490880e-03 	 
4.905710e-01 	 2.327080e-03 	4.905710e-01 	 -2.327080e-03 	 
4.912130e-01 	 2.169540e-03 	4.912130e-01 	 -2.169540e-03 	 
4.918300e-01 	 2.018030e-03 	4.918300e-01 	 -2.018030e-03 	 
4.924230e-01 	 1.872300e-03 	4.924230e-01 	 -1.872300e-03 	 
4.929930e-01 	 1.732090e-03 	4.929930e-01 	 -1.732090e-03 	 
4.935410e-01 	 1.597140e-03 	4.935410e-01 	 -1.597140e-03 	 
4.940680e-01 	 1.467170e-03 	4.940680e-01 	 -1.467170e-03 	 
4.945770e-01 	 1.341900e-03 	4.945770e-01 	 -1.341900e-03 	 
4.950670e-01 	 1.221060e-03 	4.950670e-01 	 -1.221060e-03 	 
4.955400e-01 	 1.104340e-03 	4.955400e-01 	 -1.104340e-03 	 
4.959970e-01 	 9.914340e-04 	4.959970e-01 	 -9.914340e-04 	 
4.964390e-01 	 8.820390e-04 	4.964390e-01 	 -8.820390e-04 	 
4.968690e-01 	 7.758330e-04 	4.968690e-01 	 -7.758330e-04 	 
4.972870e-01 	 6.724870e-04 	4.972870e-01 	 -6.724870e-04 	 
4.976940e-01 	 5.716680e-04 	4.976940e-01 	 -5.716680e-04 	 
4.980930e-01 	 4.730320e-04 	4.980930e-01 	 -4.730320e-04 	 
4.984830e-01 	 3.762270e-04 	4.984830e-01 	 -3.762270e-04 	 
4.988680e-01 	 2.808960e-04 	4.988680e-01 	 -2.808960e-04 	 
4.992480e-01 	 1.866690e-04 	4.992480e-01 	 -1.866690e-04 	 
4.996250e-01 	 9.317290e-05 	4.996250e-01 	 -9.317290e-05 	 
5.000000e-01 	 0.000000e+00 	5.000000e-01 	 -0.000000e+00 	 
