   n        time         Cl         Cd         AoA         M
    6880     0.99826   0.0000000   0.0009949   0.0000000   0.0008189
    6900     1.00116   0.0000000   0.0009991   0.0000000   0.0008236
    6920     1.00407   0.0000000   0.0010032   0.0000000   0.0008284
    6940     1.00697   0.0000000   0.0010074   0.0000000   0.0008332
    6960     1.00987   0.0000000   0.0010115   0.0000000   0.0008380
    6980     1.01277   0.0000000   0.0010157   0.0000000   0.0008428
    7000     1.01568   0.0000000   0.0010199   0.0000000   0.0008477
    7020     1.01858   0.0000000   0.0010240   0.0000000   0.0008525
    7040     1.02148   0.0000000   0.0010282   0.0000000   0.0008574
    7060     1.02439   0.0000000   0.0010323   0.0000000   0.0008622
    7080     1.02729   0.0000000   0.0010365   0.0000000   0.0008671
    7100     1.03019   0.0000000   0.0010406   0.0000000   0.0008720
    7120     1.03310   0.0000000   0.0010448   0.0000000   0.0008770
    7140     1.03600   0.0000000   0.0010489   0.0000000   0.0008819
    7160     1.03890   0.0000000   0.0010531   0.0000000   0.0008868
    7180     1.04180   0.0000000   0.0010572   0.0000000   0.0008918
    7200     1.04471   0.0000000   0.0010613   0.0000000   0.0008968
    7220     1.04761   0.0000000   0.0010655   0.0000000   0.0009017
    7240     1.05051   0.0000000   0.0010696   0.0000000   0.0009067
    7260     1.05342   0.0000000   0.0010738   0.0000000   0.0009118
    7280     1.05632   0.0000000   0.0010779   0.0000000   0.0009168
    7300     1.05922   0.0000000   0.0010820   0.0000000   0.0009218
    7320     1.06212   0.0000000   0.0010862   0.0000000   0.0009269
    7340     1.06503   0.0000000   0.0010903   0.0000000   0.0009319
    7360     1.06793   0.0000000   0.0010944   0.0000000   0.0009370
    7380     1.07083   0.0000000   0.0010986   0.0000000   0.0009421
    7400     1.07373   0.0000000   0.0011027   0.0000000   0.0009472
    7420     1.07664   0.0000000   0.0011068   0.0000000   0.0009524
    7440     1.07954   0.0000000   0.0011109   0.0000000   0.0009575
    7460     1.08244   0.0000000   0.0011151   0.0000000   0.0009626
    7480     1.08535   0.0000000   0.0011192   0.0000000   0.0009678
    7500     1.08825   0.0000000   0.0011233   0.0000000   0.0009730
    7520     1.09115   0.0000000   0.0011274   0.0000000   0.0009782
    7540     1.09405   0.0000000   0.0011316   0.0000000   0.0009834
    7560     1.09696   0.0000000   0.0011357   0.0000000   0.0009886
    7580     1.09986   0.0000000   0.0011398   0.0000000   0.0009938
    7600     1.10276   0.0000000   0.0011439   0.0000000   0.0009991
    7620     1.10566   0.0000000   0.0011480   0.0000000   0.0010043
    7640     1.10857   0.0000000   0.0011521   0.0000000   0.0010096
    7660     1.11147   0.0000000   0.0011563   0.0000000   0.0010149
    7680     1.11437   0.0000000   0.0011604   0.0000000   0.0010202
    7700     1.11727   0.0000000   0.0011645   0.0000000   0.0010255
    7720     1.12018   0.0000000   0.0011686   0.0000000   0.0010308
    7740     1.12308   0.0000000   0.0011727   0.0000000   0.0010362
    7760     1.12598   0.0000000   0.0011768   0.0000000   0.0010415
    7780     1.12888   0.0000000   0.0011809   0.0000000   0.0010469
    7800     1.13179   0.0000000   0.0011850   0.0000000   0.0010523
    7820     1.13469   0.0000000   0.0011891   0.0000000   0.0010577
    7840     1.13759   0.0000000   0.0011932   0.0000000   0.0010631
    7860     1.14049   0.0000000   0.0011973   0.0000000   0.0010685
    7880     1.14340   0.0000000   0.0012014   0.0000000   0.0010740
    7900     1.14630   0.0000000   0.0012055   0.0000000   0.0010794
    7920     1.14920   0.0000000   0.0012096   0.0000000   0.0010849
    7940     1.15210   0.0000000   0.0012137   0.0000000   0.0010904
    7960     1.15500   0.0000000   0.0012178   0.0000000   0.0010959
    7980     1.15791   0.0000000   0.0012219   0.0000000   0.0011014
    8000     1.16081   0.0000000   0.0012260   0.0000000   0.0011069
    8020     1.16371   0.0000000   0.0012301   0.0000000   0.0011124
    8040     1.16661   0.0000000   0.0012342   0.0000000   0.0011180
    8060     1.16952   0.0000000   0.0012383   0.0000000   0.0011235
    8080     1.17242   0.0000000   0.0012424   0.0000000   0.0011291
    8100     1.17532   0.0000000   0.0012465   0.0000000   0.0011347
    8120     1.17822   0.0000000   0.0012506   0.0000000   0.0011403
    8140     1.18112   0.0000000   0.0012547   0.0000000   0.0011459
    8160     1.18403   0.0000000   0.0012588   0.0000000   0.0011516
    8180     1.18693   0.0000000   0.0012629   0.0000000   0.0011572
    8200     1.18983   0.0000000   0.0012670   0.0000000   0.0011629
    8220     1.19273   0.0000000   0.0012710   0.0000000   0.0011685
    8240     1.19564   0.0000000   0.0012751   0.0000000   0.0011742
    8260     1.19854   0.0000000   0.0012792   0.0000000   0.0011799
    8280     1.20144   0.0000000   0.0012833   0.0000000   0.0011856
    8300     1.20434   0.0000000   0.0012874   0.0000000   0.0011914
    8320     1.20724   0.0000000   0.0012915   0.0000000   0.0011971
    8340     1.21015   0.0000000   0.0012955   0.0000000   0.0012029
