   n        time         Clp         Cdp         Clv         Cdv
 1618120   225.61890   0.6142849   0.0005522   0.0271952   0.0082085
 1618140   225.62155   0.6141703   0.0005522   0.0271782   0.0082094
 1618160   225.62419   0.6140542   0.0005522   0.0271611   0.0082102
 1618180   225.62683   0.6139366   0.0005523   0.0271439   0.0082110
 1618200   225.62948   0.6138176   0.0005523   0.0271266   0.0082119
 1618220   225.63212   0.6136971   0.0005523   0.0271091   0.0082128
 1618240   225.63477   0.6135752   0.0005523   0.0270915   0.0082140
 1618260   225.63741   0.6134520   0.0005521   0.0270738   0.0082156
 1618280   225.64006   0.6133274   0.0005519   0.0270560   0.0082179
 1618300   225.64270   0.6132014   0.0005515   0.0270380   0.0082211
 1618320   225.64535   0.6130738   0.0005510   0.0270199   0.0082253
 1618340   225.64799   0.6129445   0.0005504   0.0270015   0.0082304
 1618360   225.65063   0.6128133   0.0005495   0.0269829   0.0082364
 1618380   225.65328   0.6126802   0.0005485   0.0269640   0.0082432
 1618400   225.65592   0.6125451   0.0005475   0.0269449   0.0082505
 1618420   225.65857   0.6124079   0.0005463   0.0269254   0.0082582
 1618440   225.66121   0.6122686   0.0005452   0.0269056   0.0082659
 1618460   225.66386   0.6121273   0.0005440   0.0268854   0.0082735
 1618480   225.66650   0.6119841   0.0005430   0.0268650   0.0082807
 1618500   225.66915   0.6118393   0.0005420   0.0268443   0.0082874
 1618520   225.67179   0.6116933   0.0005411   0.0268234   0.0082936
 1618540   225.67443   0.6115465   0.0005403   0.0268024   0.0082992
 1618560   225.67708   0.6113993   0.0005396   0.0267813   0.0083041
 1618580   225.67972   0.6112519   0.0005390   0.0267602   0.0083084
 1618600   225.68237   0.6111048   0.0005385   0.0267391   0.0083122
 1618620   225.68501   0.6109583   0.0005380   0.0267180   0.0083153
 1618640   225.68766   0.6108129   0.0005377   0.0266972   0.0083180
 1618660   225.69030   0.6106690   0.0005374   0.0266765   0.0083202
 1618680   225.69295   0.6105270   0.0005372   0.0266561   0.0083220
 1618700   225.69559   0.6103873   0.0005371   0.0266361   0.0083235
 1618720   225.69823   0.6102505   0.0005370   0.0266166   0.0083246
 1618740   225.70088   0.6101171   0.0005369   0.0265975   0.0083255
 1618760   225.70352   0.6099871   0.0005369   0.0265791   0.0083261
 1618780   225.70617   0.6098605   0.0005369   0.0265611   0.0083266
 1618800   225.70881   0.6097378   0.0005369   0.0265437   0.0083268
 1618820   225.71146   0.6096197   0.0005369   0.0265270   0.0083268
 1618840   225.71410   0.6095061   0.0005370   0.0265112   0.0083266
 1618860   225.71674   0.6093965   0.0005371   0.0264959   0.0083263
