   n        time         Clp         Cdp     Clv         Cdv
     400    91.12510   0.6086819   0.0005009   0.0274741   0.0081685
     401    91.13290   0.6082250   0.0004997   0.0274047   0.0081733
     402    91.14070   0.6077683   0.0004989   0.0273348   0.0081793
     403    91.14850   0.6073062   0.0004985   0.0272642   0.0081854
     404    91.15630   0.6068501   0.0004988   0.0271940   0.0081898
     405    91.16410   0.6063858   0.0004992   0.0271208   0.0081916
     406    91.17200   0.6059369   0.0004995   0.0270488   0.0081902
     407    91.17980   0.6055258   0.0005002   0.0269824   0.0081856
     408    91.18760   0.6051406   0.0005015   0.0269203   0.0081778
     409    91.19540   0.6047899   0.0005033   0.0268637   0.0081679
     410    91.20320   0.6044590   0.0005051   0.0268096   0.0081570
     411    91.21100   0.6041559   0.0005061   0.0267589   0.0081485
     412    91.21880   0.6038669   0.0005064   0.0267095   0.0081448
     413    91.22670   0.6036014   0.0005062   0.0266635   0.0081467
     414    91.23440   0.6033659   0.0005058   0.0266224   0.0081519
     415    91.24230   0.6031441   0.0005056   0.0265828   0.0081571
     416    91.25000   0.6029425   0.0005059   0.0265458   0.0081597
     417    91.25790   0.6027714   0.0005068   0.0265141   0.0081585
     418    91.26580   0.6026474   0.0005083   0.0264916   0.0081537
     419    91.27350   0.6025513   0.0005099   0.0264739   0.0081462
     420    91.28140   0.6024617   0.0005119   0.0264558   0.0081368
     421    91.28910   0.6023948   0.0005139   0.0264409   0.0081265
     422    91.29690   0.6023583   0.0005160   0.0264315   0.0081155
     423    91.30480   0.6023463   0.0005182   0.0264269   0.0081041
     424    91.31250   0.6023453   0.0005204   0.0264242   0.0080923
     425    91.32040   0.6023452   0.0005226   0.0264211   0.0080797
     426    91.32810   0.6023470   0.0005248   0.0264183   0.0080666
     427    91.33600   0.6023552   0.0005270   0.0264170   0.0080529
     428    91.34390   0.6023688   0.0005291   0.0264175   0.0080394
     429    91.35160   0.6023805   0.0005308   0.0264186   0.0080279
     430    91.35950   0.6023843   0.0005317   0.0264189   0.0080200
     431    91.36730   0.6023827   0.0005312   0.0264190   0.0080188
     432    91.37510   0.6023835   0.0005291   0.0264209   0.0080258
