   n        time         Clp         Cdp     Clv         Cdv
     250   131.95320   0.6131282   0.0005930   0.0260270   0.0081156
     251   131.96100   0.6131126   0.0005919   0.0260189   0.0081218
     252   131.96890   0.6131184   0.0005906   0.0260138   0.0081290
     253   131.97670   0.6131544   0.0005894   0.0260141   0.0081359
     254   131.98450   0.6132106   0.0005884   0.0260179   0.0081415
     255   131.99230   0.6132609   0.0005878   0.0260194   0.0081452
     256   132.00010   0.6133099   0.0005875   0.0260200   0.0081471
     257   132.00790   0.6133692   0.0005875   0.0260227   0.0081475
     258   132.01570   0.6134267   0.0005875   0.0260249   0.0081469
     259   132.02360   0.6134832   0.0005874   0.0260268   0.0081460
     260   132.03140   0.6135390   0.0005871   0.0260294   0.0081453
     261   132.03920   0.6135758   0.0005867   0.0260286   0.0081456
     262   132.04700   0.6135973   0.0005861   0.0260255   0.0081472
     263   132.05480   0.6136168   0.0005853   0.0260236   0.0081497
     264   132.06250   0.6136155   0.0005844   0.0260184   0.0081521
     265   132.07050   0.6135899   0.0005838   0.0260091   0.0081534
     266   132.07830   0.6135596   0.0005837   0.0260005   0.0081532
     267   132.08600   0.6135254   0.0005839   0.0259926   0.0081514
     268   132.09380   0.6134908   0.0005845   0.0259860   0.0081480
     269   132.10160   0.6134658   0.0005852   0.0259825   0.0081433
     270   132.10940   0.6134472   0.0005861   0.0259807   0.0081376
     271   132.11720   0.6134479   0.0005871   0.0259834   0.0081309
     272   132.12510   0.6134771   0.0005883   0.0259927   0.0081233
     273   132.13290   0.6135216   0.0005896   0.0260054   0.0081152
     274   132.14070   0.6135721   0.0005912   0.0260191   0.0081063
     275   132.14850   0.6136371   0.0005930   0.0260359   0.0080968
     276   132.15630   0.6137149   0.0005948   0.0260556   0.0080870
     277   132.16410   0.6137905   0.0005962   0.0260748   0.0080774
     278   132.17200   0.6138617   0.0005973   0.0260929   0.0080690
     279   132.17980   0.6139267   0.0005980   0.0261102   0.0080628
     280   132.18760   0.6139755   0.0005986   0.0261246   0.0080590
     281   132.19540   0.6140067   0.0005991   0.0261358   0.0080568
     282   132.20320   0.6140206   0.0005995   0.0261439   0.0080553
     283   132.21100   0.6140165   0.0005999   0.0261487   0.0080538
     284   132.21890   0.6140006   0.0006002   0.0261517   0.0080519
     285   132.22670   0.6139722   0.0006005   0.0261533   0.0080491
     286   132.23450   0.6139218   0.0006011   0.0261512   0.0080454
     287   132.24230   0.6138537   0.0006017   0.0261461   0.0080408
     288   132.25010   0.6137652   0.0006024   0.0261373   0.0080357
     289   132.25790   0.6136571   0.0006031   0.0261247   0.0080302
     290   132.26580   0.6135510   0.0006040   0.0261140   0.0080246
     291   132.27360   0.6134466   0.0006048   0.0261043   0.0080191
     292   132.28140   0.6133219   0.0006056   0.0260903   0.0080139
     293   132.28910   0.6131988   0.0006065   0.0260763   0.0080091
     294   132.29690   0.6131113   0.0006073   0.0260701   0.0080046
     295   132.30470   0.6130445   0.0006081   0.0260681   0.0080000
     296   132.31260   0.6129895   0.0006090   0.0260682   0.0079946
     297   132.32040   0.6129608   0.0006101   0.0260735   0.0079884
     298   132.32820   0.6129470   0.0006113   0.0260815   0.0079811
     299   132.33600   0.6129538   0.0006128   0.0260935   0.0079726
     300   132.34380   0.6130002   0.0006145   0.0261139   0.0079633
     301   132.35160   0.6130571   0.0006163   0.0261362   0.0079534
     302   132.35950   0.6131038   0.0006184   0.0261560   0.0079427
     303   132.36730   0.6131525   0.0006205   0.0261756   0.0079314
     304   132.37510   0.6132004   0.0006226   0.0261949   0.0079194
     305   132.38290   0.6132422   0.0006248   0.0262133   0.0079070
     306   132.39070   0.6132683   0.0006270   0.0262284   0.0078948
     307   132.39850   0.6132725   0.0006291   0.0262393   0.0078833
     308   132.40640   0.6132617   0.0006310   0.0262476   0.0078728
     309   132.41420   0.6132469   0.0006326   0.0262555   0.0078635
     310   132.42200   0.6132229   0.0006339   0.0262616   0.0078549
     311   132.42980   0.6131833   0.0006353   0.0262644   0.0078470
     312   132.43750   0.6131474   0.0006367   0.0262678   0.0078399
     313   132.44530   0.6131175   0.0006378   0.0262721   0.0078334
     314   132.45330   0.6130789   0.0006389   0.0262741   0.0078279
     315   132.46110   0.6130442   0.0006400   0.0262756   0.0078229
     316   132.46880   0.6130126   0.0006414   0.0262773   0.0078158
     317   132.47660   0.6129737   0.0006437   0.0262772   0.0078052
     318   132.48440   0.6129402   0.0006460   0.0262775   0.0077920
     319   132.49230   0.6128966   0.0006486   0.0262754   0.0077765
     320   132.50010   0.6128354   0.0006517   0.0262698   0.0077604
     321   132.50790   0.6127644   0.0006540   0.0262622   0.0077471
     322   132.51570   0.6126770   0.0006546   0.0262510   0.0077405
     323   132.52350   0.6125661   0.0006537   0.0262355   0.0077426
     324   132.53130   0.6124296   0.0006520   0.0262157   0.0077522
     325   132.53920   0.6122697   0.0006499   0.0261921   0.0077662
     326   132.54700   0.6120990   0.0006476   0.0261668   0.0077815
     327   132.55480   0.6119243   0.0006452   0.0261413   0.0077972
     328   132.56260   0.6117553   0.0006425   0.0261172   0.0078117
     329   132.57040   0.6115780   0.0006406   0.0260916   0.0078231
     330   132.57820   0.6113988   0.0006400   0.0260656   0.0078304
     331   132.58610   0.6112472   0.0006398   0.0260447   0.0078334
     332   132.59390   0.6111391   0.0006396   0.0260315   0.0078326
     333   132.60170   0.6110498   0.0006400   0.0260210   0.0078306
     334   132.60950   0.6109840   0.0006406   0.0260135   0.0078304
     335   132.61730   0.6109831   0.0006397   0.0260167   0.0078335
     336   132.62500   0.6110274   0.0006387   0.0260272   0.0078386
     337   132.63300   0.6110965   0.0006388   0.0260405   0.0078416
     338   132.64080   0.6112182   0.0006389   0.0260612   0.0078388
     339   132.64860   0.6113708   0.0006397   0.0260866   0.0078330
     340   132.65630   0.6115285   0.0006407   0.0261113   0.0078284
     341   132.66410   0.6116986   0.0006415   0.0261362   0.0078234
     342   132.67190   0.6118710   0.0006430   0.0261602   0.0078155
     343   132.67970   0.6120626   0.0006447   0.0261875   0.0078058
     344   132.68760   0.6122762   0.0006460   0.0262189   0.0077964
     345   132.69540   0.6124598   0.0006473   0.0262432   0.0077882
     346   132.70320   0.6126234   0.0006484   0.0262620   0.0077811
     347   132.71100   0.6127952   0.0006492   0.0262823   0.0077759
     348   132.71880   0.6129766   0.0006495   0.0263050   0.0077734
     349   132.72660   0.6131356   0.0006493   0.0263229   0.0077739
     350   132.73450   0.6132612   0.0006486   0.0263327   0.0077777
     351   132.74230   0.6133742   0.0006474   0.0263397   0.0077842
     352   132.75010   0.6134856   0.0006462   0.0263467   0.0077921
     353   132.75790   0.6135919   0.0006450   0.0263530   0.0077999
     354   132.76570   0.6136902   0.0006439   0.0263578   0.0078072
     355   132.77350   0.6137703   0.0006427   0.0263588   0.0078143
     356   132.78140   0.6138416   0.0006416   0.0263577   0.0078207
     357   132.78920   0.6139181   0.0006407   0.0263584   0.0078256
     358   132.79700   0.6140010   0.0006400   0.0263607   0.0078298
     359   132.80480   0.6140776   0.0006393   0.0263616   0.0078337
     360   132.81260   0.6141501   0.0006388   0.0263614   0.0078375
     361   132.82030   0.6142342   0.0006382   0.0263639   0.0078422
     362   132.82830   0.6143307   0.0006369   0.0263688   0.0078497
     363   132.83610   0.6144328   0.0006351   0.0263753   0.0078612
     364   132.84380   0.6145469   0.0006327   0.0263849   0.0078766
     365   132.85160   0.6146666   0.0006301   0.0263960   0.0078932
     366   132.85940   0.6147844   0.0006276   0.0264072   0.0079082
