x0	M1	x1	M2	x2	M3	x3	M4	x4	M5	x5	M6	x6	M7	x7	M8	x8	M9	x9	avg	
-0.43650 	 -0.73139 	-0.43650 	 -1.33451 	-0.43650 	 -1.32112 	-0.43650 	 -1.29495 	-0.43650 	 -1.29456 	-0.43650 	 -1.33544 	-0.43650 	 -1.30166 	-0.43650 	 -0.72584 	-0.43650 	 -0.73139 	-0.43650 	 -1.11898 	 
-0.43441 	 -0.73720 	-0.43441 	 -1.30918 	-0.43441 	 -1.31204 	-0.43441 	 -1.29810 	-0.43441 	 -1.29798 	-0.43441 	 -1.32583 	-0.43441 	 -1.27693 	-0.43441 	 -0.72809 	-0.43441 	 -0.73720 	-0.43441 	 -1.11362 	 
-0.43227 	 -0.74222 	-0.43227 	 -1.27824 	-0.43227 	 -1.30151 	-0.43227 	 -1.30133 	-0.43227 	 -1.30188 	-0.43227 	 -1.31441 	-0.43227 	 -1.24476 	-0.43227 	 -0.73010 	-0.43227 	 -0.74222 	-0.43227 	 -1.10630 	 
-0.43009 	 -0.74629 	-0.43009 	 -1.24064 	-0.43009 	 -1.28931 	-0.43009 	 -1.30423 	-0.43009 	 -1.30602 	-0.43009 	 -1.30181 	-0.43009 	 -1.20935 	-0.43009 	 -0.73188 	-0.43009 	 -0.74629 	-0.43009 	 -1.09731 	 
-0.42786 	 -0.74997 	-0.42786 	 -1.19760 	-0.42786 	 -1.27578 	-0.42786 	 -1.30666 	-0.42786 	 -1.31034 	-0.42786 	 -1.28759 	-0.42786 	 -1.17282 	-0.42786 	 -0.73377 	-0.42786 	 -0.74997 	-0.42786 	 -1.08717 	 
-0.42559 	 -0.75343 	-0.42559 	 -1.15508 	-0.42559 	 -1.26012 	-0.42559 	 -1.30901 	-0.42559 	 -1.31477 	-0.42559 	 -1.27033 	-0.42559 	 -1.13604 	-0.42559 	 -0.73640 	-0.42559 	 -0.75343 	-0.42559 	 -1.07651 	 
-0.42328 	 -0.75661 	-0.42328 	 -1.11546 	-0.42328 	 -1.24140 	-0.42328 	 -1.31241 	-0.42328 	 -1.31912 	-0.42328 	 -1.25004 	-0.42328 	 -1.10268 	-0.42328 	 -0.73961 	-0.42328 	 -0.75661 	-0.42328 	 -1.06599 	 
-0.42091 	 -0.75990 	-0.42091 	 -1.08056 	-0.42091 	 -1.22154 	-0.42091 	 -1.31714 	-0.42091 	 -1.32331 	-0.42091 	 -1.22889 	-0.42091 	 -1.07508 	-0.42091 	 -0.74216 	-0.42091 	 -0.75990 	-0.42091 	 -1.05650 	 
-0.41851 	 -0.76338 	-0.41851 	 -1.05280 	-0.41851 	 -1.20297 	-0.41851 	 -1.32261 	-0.41851 	 -1.32797 	-0.41851 	 -1.20910 	-0.41851 	 -1.05013 	-0.41851 	 -0.74365 	-0.41851 	 -0.76338 	-0.41851 	 -1.04844 	 
-0.41606 	 -0.76633 	-0.41606 	 -1.02714 	-0.41606 	 -1.18503 	-0.41606 	 -1.32867 	-0.41606 	 -1.33396 	-0.41606 	 -1.19136 	-0.41606 	 -1.02552 	-0.41606 	 -0.74513 	-0.41606 	 -0.76633 	-0.41606 	 -1.04105 	 
-0.41356 	 -0.76842 	-0.41356 	 -1.00320 	-0.41356 	 -1.16659 	-0.41356 	 -1.33531 	-0.41356 	 -1.34102 	-0.41356 	 -1.17630 	-0.41356 	 -1.00350 	-0.41356 	 -0.74766 	-0.41356 	 -0.76842 	-0.41356 	 -1.03449 	 
-0.41102 	 -0.76978 	-0.41102 	 -0.98856 	-0.41102 	 -1.14931 	-0.41102 	 -1.34268 	-0.41102 	 -1.34891 	-0.41102 	 -1.16399 	-0.41102 	 -0.98639 	-0.41102 	 -0.75117 	-0.41102 	 -0.76978 	-0.41102 	 -1.03006 	 
-0.40842 	 -0.77057 	-0.40842 	 -0.97796 	-0.40842 	 -1.13488 	-0.40842 	 -1.35105 	-0.40842 	 -1.35849 	-0.40842 	 -1.15316 	-0.40842 	 -0.97266 	-0.40842 	 -0.75500 	-0.40842 	 -0.77057 	-0.40842 	 -1.02715 	 
-0.40579 	 -0.77109 	-0.40579 	 -0.96191 	-0.40579 	 -1.12215 	-0.40579 	 -1.36038 	-0.40579 	 -1.36853 	-0.40579 	 -1.14261 	-0.40579 	 -0.95900 	-0.40579 	 -0.75859 	-0.40579 	 -0.77109 	-0.40579 	 -1.02393 	 
