Density	Momentum:0	Momentum:1	Momentum:2	StagnationEnergy	Function0	Function1	Function2	Function3	Function4	Function5	Points:0	Points:1	Points:2
0.954789	-0.00247813	0.0163536	-0.000361402	0.687351	0.00291425	0.00166893	0.00248107	-0.000412424	0.000172592	-0.000469306	0.1	0.15	0.033
0.954802	-0.00136371	0.0150626	0.00104357	0.687366	0.00306733	0.00168835	0.00243968	-0.000474803	0.000209702	-0.000509966	0.1	0.15	0.0352
0.954803	-0.000275944	0.0139564	0.00221229	0.687375	0.00319101	0.00171113	0.00237201	-0.000518628	0.000228915	-0.000521947	0.1	0.15	0.0374
0.9548	0.000889936	0.0131655	0.00312889	0.687369	0.00325777	0.0017631	0.00230388	-0.000550417	0.000221958	-0.000511078	0.1	0.15	0.0396
0.9548	0.00219456	0.0124676	0.00386249	0.68735	0.00327626	0.001838	0.00224583	-0.000574886	0.000192501	-0.000492772	0.1	0.15	0.0418
0.954797	0.00391619	0.0115535	0.00447453	0.687323	0.00329483	0.00190261	0.00219931	-0.000576241	0.000156292	-0.000504233	0.1	0.15	0.044
0.95481	0.006291	0.0103236	0.00512775	0.687306	0.00335734	0.00192742	0.00219236	-0.000563764	0.000149284	-0.00054299	0.1	0.15	0.0462
0.95484	0.0092745	0.00892362	0.00590325	0.687299	0.00346839	0.00193289	0.00222012	-0.000548675	0.000171408	-0.000587241	0.1	0.15	0.0484
0.954896	0.0125084	0.00740929	0.00683352	0.6873	0.00363184	0.00193594	0.00225838	-0.000540309	0.00019725	-0.000619272	0.1	0.15	0.0506
0.954993	0.0156695	0.00566953	0.00792801	0.687313	0.00388118	0.00194029	0.00228784	-0.000553285	0.000197992	-0.00063439	0.1	0.15	0.0528
0.955125	0.0185866	0.00363133	0.00918973	0.687338	0.00421272	0.00192239	0.00229777	-0.000607273	0.000177676	-0.000624734	0.1	0.15	0.055
0.955261	0.0210971	0.00146335	0.0105471	0.68738	0.00452244	0.00188001	0.00227584	-0.00068969	0.00015705	-0.000581658	0.1	0.15	0.0572
0.955383	0.0228614	-0.000518416	0.0117244	0.687438	0.00470111	0.00184265	0.00221831	-0.00075898	0.000123414	-0.000520047	0.1	0.15	0.0594
0.955482	0.0235964	-0.00220051	0.0123597	0.687502	0.00475551	0.00182401	0.0021328	-0.000792242	8.01607E-05	-0.000448194	0.1	0.15	0.0616
0.95556	0.0237543	-0.00363651	0.012842	0.687564	0.00478944	0.00182369	0.00204113	-0.000828519	5.02348E-05	-0.000366582	0.1	0.15	0.0638
