x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	
-0.27194 	 -1.03290 	-0.28489 	 -1.08919 	-0.27194 	 -1.00013 	-0.25897 	 -0.94427 	-0.27194 	 -0.98687 	-0.28489 	 -1.04522 	-0.27194 	 -1.00554 	-0.25897 	 -0.97446 	-0.27194 	 -1.03290 	 
-0.26759 	 -1.02089 	-0.28047 	 -1.07803 	-0.26759 	 -0.98692 	-0.25468 	 -0.93754 	-0.26759 	 -0.98074 	-0.28047 	 -1.03620 	-0.26759 	 -0.99378 	-0.25468 	 -0.96021 	-0.26759 	 -1.02089 	 
-0.26320 	 -1.00725 	-0.27602 	 -1.06433 	-0.26320 	 -0.97361 	-0.25036 	 -0.93043 	-0.26320 	 -0.96971 	-0.27602 	 -1.02665 	-0.26320 	 -0.98263 	-0.25036 	 -0.94950 	-0.26320 	 -1.00725 	 
-0.25877 	 -0.99226 	-0.27152 	 -1.04819 	-0.25877 	 -0.96210 	-0.24601 	 -0.92596 	-0.25877 	 -0.95340 	-0.27152 	 -1.02012 	-0.25877 	 -0.97111 	-0.24601 	 -0.94073 	-0.25877 	 -0.99226 	 
-0.25431 	 -0.97902 	-0.26699 	 -1.02714 	-0.25431 	 -0.95210 	-0.24161 	 -0.92371 	-0.25431 	 -0.93842 	-0.26699 	 -1.01307 	-0.25431 	 -0.95956 	-0.24161 	 -0.93199 	-0.25431 	 -0.97902 	 
-0.24981 	 -0.96754 	-0.26242 	 -1.00953 	-0.24981 	 -0.94334 	-0.23719 	 -0.91618 	-0.24981 	 -0.93002 	-0.26242 	 -1.00226 	-0.24981 	 -0.94874 	-0.23719 	 -0.92348 	-0.24981 	 -0.96754 	 
-0.24528 	 -0.95368 	-0.25782 	 -0.99835 	-0.24528 	 -0.93169 	-0.23272 	 -0.90469 	-0.24528 	 -0.92634 	-0.25782 	 -0.98765 	-0.24528 	 -0.93954 	-0.23272 	 -0.91547 	-0.24528 	 -0.95368 	 
-0.24071 	 -0.93932 	-0.25317 	 -0.98437 	-0.24071 	 -0.91899 	-0.22822 	 -0.89739 	-0.24071 	 -0.92481 	-0.25317 	 -0.97217 	-0.24071 	 -0.93254 	-0.22822 	 -0.90836 	-0.24071 	 -0.93932 	 
-0.23610 	 -0.92902 	-0.24850 	 -0.96663 	-0.23610 	 -0.90926 	-0.22369 	 -0.88997 	-0.23610 	 -0.91972 	-0.24850 	 -0.96062 	-0.23610 	 -0.92697 	-0.22369 	 -0.90236 	-0.23610 	 -0.92902 	 
-0.23147 	 -0.92214 	-0.24379 	 -0.94989 	-0.23147 	 -0.89915 	-0.21913 	 -0.87779 	-0.23147 	 -0.90996 	-0.24379 	 -0.95407 	-0.23147 	 -0.92073 	-0.21913 	 -0.89724 	-0.23147 	 -0.92214 	 
-0.22680 	 -0.91558 	-0.23904 	 -0.93573 	-0.22680 	 -0.88845 	-0.21453 	 -0.86685 	-0.22680 	 -0.90223 	-0.23904 	 -0.94667 	-0.22680 	 -0.91259 	-0.21453 	 -0.89284 	-0.22680 	 -0.91558 	 
-0.22209 	 -0.90783 	-0.23426 	 -0.92244 	-0.22209 	 -0.88145 	-0.20990 	 -0.86153 	-0.22209 	 -0.89729 	-0.23426 	 -0.93603 	-0.22209 	 -0.90420 	-0.20990 	 -0.88892 	-0.22209 	 -0.90783 	 
-0.21736 	 -0.90025 	-0.22945 	 -0.91205 	-0.21736 	 -0.87721 	-0.20524 	 -0.86145 	-0.21736 	 -0.89290 	-0.22945 	 -0.92766 	-0.21736 	 -0.89764 	-0.20524 	 -0.88513 	-0.21736 	 -0.90025 	 
-0.21259 	 -0.89452 	-0.22461 	 -0.90701 	-0.21259 	 -0.87394 	-0.20055 	 -0.86058 	-0.21259 	 -0.88822 	-0.22461 	 -0.92064 	-0.21259 	 -0.89262 	-0.20055 	 -0.88140 	-0.21259 	 -0.89452 	 
-0.20779 	 -0.89011 	-0.21973 	 -0.90035 	-0.20779 	 -0.87056 	-0.19583 	 -0.85604 	-0.20779 	 -0.88121 	-0.21973 	 -0.90881 	-0.20779 	 -0.88808 	-0.19583 	 -0.87792 	-0.20779 	 -0.89011 	 
-0.20296 	 -0.88617 	-0.21483 	 -0.88882 	-0.20296 	 -0.86489 	-0.19108 	 -0.85446 	-0.20296 	 -0.87465 	-0.21483 	 -0.89523 	-0.20296 	 -0.88387 	-0.19108 	 -0.87480 	-0.20296 	 -0.88617 	 
