x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	
0.04546 	 -0.00102 	0.03780 	 -0.00138 	0.04546 	 -0.00103 	0.05313 	 -0.00152 	0.04546 	 -0.00111 	0.03780 	 -0.00150 	0.04546 	 -0.00117 	0.05313 	 -0.00097 	0.04546 	 -0.00102 	 
0.05090 	 -0.00112 	0.04334 	 -0.00140 	0.05090 	 -0.00113 	0.05848 	 -0.00155 	0.05090 	 -0.00117 	0.04334 	 -0.00159 	0.05090 	 -0.00122 	0.05848 	 -0.00112 	0.05090 	 -0.00112 	 
0.05634 	 -0.00124 	0.04887 	 -0.00141 	0.05634 	 -0.00121 	0.06383 	 -0.00162 	0.05634 	 -0.00120 	0.04887 	 -0.00158 	0.05634 	 -0.00128 	0.06383 	 -0.00121 	0.05634 	 -0.00124 	 
0.06178 	 -0.00137 	0.05440 	 -0.00141 	0.06178 	 -0.00129 	0.06917 	 -0.00161 	0.06178 	 -0.00122 	0.05440 	 -0.00152 	0.06178 	 -0.00126 	0.06917 	 -0.00113 	0.06178 	 -0.00137 	 
0.06720 	 -0.00148 	0.05992 	 -0.00140 	0.06720 	 -0.00138 	0.07450 	 -0.00147 	0.06720 	 -0.00125 	0.05992 	 -0.00145 	0.06720 	 -0.00118 	0.07450 	 -0.00096 	0.06720 	 -0.00148 	 
0.07262 	 -0.00154 	0.06544 	 -0.00141 	0.07262 	 -0.00144 	0.07982 	 -0.00130 	0.07262 	 -0.00128 	0.06544 	 -0.00143 	0.07262 	 -0.00113 	0.07982 	 -0.00088 	0.07262 	 -0.00154 	 
0.07803 	 -0.00160 	0.07094 	 -0.00145 	0.07803 	 -0.00145 	0.08513 	 -0.00122 	0.07803 	 -0.00131 	0.07094 	 -0.00148 	0.07803 	 -0.00114 	0.08513 	 -0.00099 	0.07803 	 -0.00160 	 
0.08343 	 -0.00169 	0.07643 	 -0.00154 	0.08343 	 -0.00143 	0.09043 	 -0.00127 	0.08343 	 -0.00131 	0.07643 	 -0.00158 	0.08343 	 -0.00113 	0.09043 	 -0.00117 	0.08343 	 -0.00169 	 
0.08881 	 -0.00182 	0.08191 	 -0.00165 	0.08881 	 -0.00144 	0.09573 	 -0.00130 	0.08881 	 -0.00127 	0.08191 	 -0.00166 	0.08881 	 -0.00107 	0.09573 	 -0.00125 	0.08881 	 -0.00182 	 
0.09419 	 -0.00192 	0.08738 	 -0.00175 	0.09419 	 -0.00146 	0.10101 	 -0.00123 	0.09419 	 -0.00120 	0.08738 	 -0.00167 	0.09419 	 -0.00104 	0.10101 	 -0.00123 	0.09419 	 -0.00192 	 
0.09955 	 -0.00190 	0.09284 	 -0.00177 	0.09955 	 -0.00142 	0.10627 	 -0.00117 	0.09955 	 -0.00116 	0.09284 	 -0.00164 	0.09955 	 -0.00113 	0.10627 	 -0.00122 	0.09955 	 -0.00190 	 
0.10490 	 -0.00177 	0.09828 	 -0.00172 	0.10490 	 -0.00130 	0.11153 	 -0.00125 	0.10490 	 -0.00120 	0.09828 	 -0.00165 	0.10490 	 -0.00134 	0.11153 	 -0.00130 	0.10490 	 -0.00177 	 
0.11023 	 -0.00163 	0.10371 	 -0.00166 	0.11023 	 -0.00117 	0.11677 	 -0.00143 	0.11023 	 -0.00129 	0.10371 	 -0.00169 	0.11023 	 -0.00157 	0.11677 	 -0.00141 	0.11023 	 -0.00163 	 
0.11556 	 -0.00156 	0.10912 	 -0.00162 	0.11556 	 -0.00108 	0.12200 	 -0.00165 	0.11556 	 -0.00136 	0.10912 	 -0.00173 	0.11556 	 -0.00170 	0.12200 	 -0.00148 	0.11556 	 -0.00156 	 
0.12086 	 -0.00153 	0.11452 	 -0.00165 	0.12086 	 -0.00106 	0.12721 	 -0.00190 	0.12086 	 -0.00141 	0.11452 	 -0.00176 	0.12086 	 -0.00174 	0.12721 	 -0.00147 	0.12086 	 -0.00153 	 
0.12615 	 -0.00152 	0.11990 	 -0.00177 	0.12615 	 -0.00112 	0.13240 	 -0.00213 	0.12615 	 -0.00150 	0.11990 	 -0.00177 	0.12615 	 -0.00175 	0.13240 	 -0.00146 	0.12615 	 -0.00152 	 
0.13142 	 -0.00153 	0.12527 	 -0.00195 	0.13142 	 -0.00121 	0.13758 	 -0.00229 	0.13142 	 -0.00167 	0.12527 	 -0.00175 	0.13142 	 -0.00180 	0.13758 	 -0.00152 	0.13142 	 -0.00153 	 
0.13667 	 -0.00158 	0.13062 	 -0.00208 	0.13667 	 -0.00130 	0.14274 	 -0.00236 	0.13667 	 -0.00182 	0.13062 	 -0.00165 	0.13667 	 -0.00185 	0.14274 	 -0.00168 	0.13667 	 -0.00158 	 
0.14191 	 -0.00166 	0.13594 	 -0.00212 	0.14191 	 -0.00141 	0.14789 	 -0.00235 	0.14191 	 -0.00184 	0.13594 	 -0.00149 	0.14191 	 -0.00189 	0.14789 	 -0.00189 	0.14191 	 -0.00166 	 
0.14713 	 -0.00176 	0.14125 	 -0.00207 	0.14713 	 -0.00158 	0.15301 	 -0.00228 	0.14713 	 -0.00176 	0.14125 	 -0.00135 	0.14713 	 -0.00190 	0.15301 	 -0.00206 	0.14713 	 -0.00176 	 
0.15232 	 -0.00185 	0.14654 	 -0.00198 	0.15232 	 -0.00178 	0.15811 	 -0.00218 	0.15232 	 -0.00173 	0.14654 	 -0.00137 	0.15232 	 -0.00194 	0.15811 	 -0.00214 	0.15232 	 -0.00185 	 
0.15749 	 -0.00192 	0.15180 	 -0.00197 	0.15749 	 -0.00199 	0.16320 	 -0.00206 	0.15749 	 -0.00174 	0.15180 	 -0.00154 	0.15749 	 -0.00204 	0.16320 	 -0.00215 	0.15749 	 -0.00192 	 
0.16265 	 -0.00199 	0.15705 	 -0.00208 	0.16265 	 -0.00216 	0.16826 	 -0.00200 	0.16265 	 -0.00173 	0.15705 	 -0.00181 	0.16265 	 -0.00212 	0.16826 	 -0.00218 	0.16265 	 -0.00199 	 
0.16778 	 -0.00209 	0.16227 	 -0.00226 	0.16778 	 -0.00229 	0.17330 	 -0.00210 	0.16778 	 -0.00169 	0.16227 	 -0.00209 	0.16778 	 -0.00215 	0.17330 	 -0.00228 	0.16778 	 -0.00209 	 
0.17289 	 -0.00227 	0.16747 	 -0.00242 	0.17289 	 -0.00236 	0.17832 	 -0.00232 	0.17289 	 -0.00170 	0.16747 	 -0.00231 	0.17289 	 -0.00220 	0.17832 	 -0.00244 	0.17289 	 -0.00227 	 
0.17797 	 -0.00250 	0.17264 	 -0.00258 	0.17797 	 -0.00237 	0.18331 	 -0.00253 	0.17797 	 -0.00183 	0.17264 	 -0.00246 	0.17797 	 -0.00238 	0.18331 	 -0.00264 	0.17797 	 -0.00250 	 
0.18303 	 -0.00275 	0.17779 	 -0.00275 	0.18303 	 -0.00235 	0.18828 	 -0.00268 	0.18303 	 -0.00206 	0.17779 	 -0.00263 	0.18303 	 -0.00263 	0.18828 	 -0.00286 	0.18303 	 -0.00275 	 
0.18807 	 -0.00299 	0.18291 	 -0.00289 	0.18807 	 -0.00236 	0.19323 	 -0.00284 	0.18807 	 -0.00229 	0.18291 	 -0.00286 	0.18807 	 -0.00286 	0.19323 	 -0.00310 	0.18807 	 -0.00299 	 
0.19307 	 -0.00322 	0.18801 	 -0.00299 	0.19307 	 -0.00243 	0.19814 	 -0.00306 	0.19307 	 -0.00244 	0.18801 	 -0.00309 	0.19307 	 -0.00307 	0.19814 	 -0.00333 	0.19307 	 -0.00322 	 
0.19806 	 -0.00344 	0.19308 	 -0.00306 	0.19806 	 -0.00254 	0.20304 	 -0.00332 	0.19806 	 -0.00251 	0.19308 	 -0.00318 	0.19806 	 -0.00325 	0.20304 	 -0.00357 	0.19806 	 -0.00344 	 
0.20301 	 -0.00363 	0.19812 	 -0.00307 	0.20301 	 -0.00263 	0.20791 	 -0.00364 	0.20301 	 -0.00255 	0.19812 	 -0.00322 	0.20301 	 -0.00338 	0.20791 	 -0.00380 	0.20301 	 -0.00363 	 
0.20794 	 -0.00376 	0.20314 	 -0.00300 	0.20794 	 -0.00270 	0.21274 	 -0.00388 	0.20794 	 -0.00258 	0.20314 	 -0.00334 	0.20794 	 -0.00346 	0.21274 	 -0.00399 	0.20794 	 -0.00376 	 
0.21283 	 -0.00383 	0.20812 	 -0.00290 	0.21283 	 -0.00271 	0.21756 	 -0.00385 	0.21283 	 -0.00262 	0.20812 	 -0.00359 	0.21283 	 -0.00351 	0.21756 	 -0.00413 	0.21283 	 -0.00383 	 
0.21770 	 -0.00390 	0.21308 	 -0.00285 	0.21770 	 -0.00270 	0.22234 	 -0.00360 	0.21770 	 -0.00271 	0.21308 	 -0.00382 	0.21770 	 -0.00357 	0.22234 	 -0.00425 	0.21770 	 -0.00390 	 
0.22254 	 -0.00406 	0.21800 	 -0.00289 	0.22254 	 -0.00272 	0.22709 	 -0.00337 	0.22254 	 -0.00289 	0.21800 	 -0.00394 	0.22254 	 -0.00366 	0.22709 	 -0.00439 	0.22254 	 -0.00406 	 
0.22735 	 -0.00424 	0.22290 	 -0.00300 	0.22735 	 -0.00277 	0.23181 	 -0.00324 	0.22735 	 -0.00314 	0.22290 	 -0.00395 	0.22735 	 -0.00376 	0.23181 	 -0.00450 	0.22735 	 -0.00424 	 
0.23213 	 -0.00429 	0.22776 	 -0.00313 	0.23213 	 -0.00283 	0.23651 	 -0.00316 	0.23213 	 -0.00341 	0.22776 	 -0.00389 	0.23213 	 -0.00385 	0.23651 	 -0.00451 	0.23213 	 -0.00429 	 
0.23687 	 -0.00423 	0.23259 	 -0.00325 	0.23687 	 -0.00289 	0.24117 	 -0.00309 	0.23687 	 -0.00365 	0.23259 	 -0.00374 	0.23687 	 -0.00391 	0.24117 	 -0.00442 	0.23687 	 -0.00423 	 
0.24158 	 -0.00427 	0.23738 	 -0.00337 	0.24158 	 -0.00295 	0.24580 	 -0.00311 	0.24158 	 -0.00384 	0.23738 	 -0.00353 	0.24158 	 -0.00396 	0.24580 	 -0.00428 	0.24158 	 -0.00427 	 
0.24626 	 -0.00447 	0.24214 	 -0.00349 	0.24626 	 -0.00299 	0.25039 	 -0.00323 	0.24626 	 -0.00401 	0.24214 	 -0.00338 	0.24626 	 -0.00400 	0.25039 	 -0.00423 	0.24626 	 -0.00447 	 
0.25091 	 -0.00465 	0.24687 	 -0.00362 	0.25091 	 -0.00304 	0.25496 	 -0.00338 	0.25091 	 -0.00410 	0.24687 	 -0.00332 	0.25091 	 -0.00402 	0.25496 	 -0.00432 	0.25091 	 -0.00465 	 
0.25552 	 -0.00476 	0.25156 	 -0.00377 	0.25552 	 -0.00314 	0.25949 	 -0.00349 	0.25552 	 -0.00391 	0.25156 	 -0.00335 	0.25552 	 -0.00401 	0.25949 	 -0.00454 	0.25552 	 -0.00476 	 
0.26010 	 -0.00487 	0.25622 	 -0.00394 	0.26010 	 -0.00326 	0.26398 	 -0.00362 	0.26010 	 -0.00351 	0.25622 	 -0.00341 	0.26010 	 -0.00403 	0.26398 	 -0.00477 	0.26010 	 -0.00487 	 
0.26464 	 -0.00496 	0.26084 	 -0.00408 	0.26464 	 -0.00334 	0.26844 	 -0.00384 	0.26464 	 -0.00320 	0.26084 	 -0.00349 	0.26464 	 -0.00412 	0.26844 	 -0.00494 	0.26464 	 -0.00496 	 
