   n        time         Clp         Cdv
     401   200.00020   0.5753351   0.2832430
     402   200.12520   0.5681634   0.2794345
     403   200.25020   0.5646032   0.2774411
     404   200.37510   0.5620245   0.2754364
     405   200.50010   0.5569779   0.2727354
     406   200.62530   0.5528791   0.2708178
     407   200.75020   0.5488512   0.2684778
     408   200.87510   0.5457697   0.2667915
     409   201.00020   0.5439587   0.2645517
     410   201.12520   0.5429036   0.2630686
     411   201.25010   0.5408136   0.2613246
     412   201.37520   0.5406538   0.2596302
     413   201.50010   0.5399162   0.2586822
     414   201.62520   0.5381887   0.2571126
     415   201.75020   0.5373775   0.2553479
     416   201.87520   0.5364671   0.2535336
     417   202.00030   0.5368771   0.2526533
     418   202.12510   0.5341999   0.2507253
     419   202.25010   0.5351506   0.2501415
     420   202.37530   0.5377674   0.2506095
     421   202.50020   0.5383440   0.2501285
     422   202.62520   0.5395968   0.2502243
     423   202.75020   0.5406399   0.2507006
     424   202.87530   0.5433817   0.2521112
     425   203.00010   0.5438607   0.2525030
     426   203.12520   0.5448630   0.2522105
     427   203.25010   0.5449163   0.2520033
     428   203.37520   0.5458665   0.2523669
     429   203.50030   0.5463032   0.2523066
     430   203.62520   0.5492794   0.2537865
     431   203.75010   0.5505301   0.2542690
     432   203.87520   0.5533583   0.2545302
     433   204.00020   0.5556326   0.2552302
     434   204.12510   0.5581764   0.2560478
     435   204.25020   0.5609707   0.2570448
     436   204.37520   0.5644304   0.2579650
     437   204.50030   0.5665433   0.2578182
     438   204.62510   0.5691658   0.2587006
     439   204.75020   0.5727217   0.2603454
     440   204.87530   0.5773058   0.2630702
     441   205.00020   0.5822603   0.2659483
     442   205.12510   0.5861722   0.2682725
     443   205.25010   0.5909660   0.2705853
     444   205.37520   0.5943575   0.2719678
     445   205.50020   0.5990632   0.2736516
     446   205.62510   0.6031172   0.2757158
     447   205.75010   0.6069409   0.2776621
     448   205.87530   0.6090372   0.2788005
     449   206.00030   0.6119196   0.2799275
     450   206.12520   0.6128764   0.2807096
     451   206.25020   0.6133517   0.2808228
     452   206.37520   0.6159731   0.2815236
     453   206.50010   0.6170666   0.2827572
     454   206.62510   0.6188799   0.2842153
     455   206.75020   0.6202578   0.2856014
     456   206.87520   0.6213082   0.2866816
     457   207.00020   0.6189069   0.2861470
     458   207.12520   0.6170911   0.2854109
     459   207.25020   0.6149708   0.2845654
     460   207.37530   0.6141185   0.2843825
     461   207.50020   0.6137509   0.2845305
     462   207.62520   0.6107482   0.2834654
     463   207.75020   0.6045075   0.2809544
     464   207.87530   0.5985505   0.2791647
     465   208.00020   0.5972620   0.2784353
     466   208.12520   0.5930424   0.2766739
     467   208.25020   0.5907303   0.2751765
     468   208.37520   0.5900285   0.2751810
     469   208.50010   0.5908947   0.2761139
     470   208.62510   0.5913951   0.2768366
     471   208.75020   0.5928265   0.2779776
     472   208.87520   0.5942496   0.2789478
     473   209.00020   0.5959644   0.2800781
     474   209.12510   0.5973660   0.2814433
     475   209.25030   0.5984901   0.2828562
     476   209.37510   0.6037051   0.2859305
     477   209.50020   0.6084263   0.2895358
     478   209.62520   0.6132447   0.2921748
     479   209.75010   0.6172465   0.2943982
     480   209.87520   0.6192173   0.2954584
     481   210.00010   0.6208148   0.2969791
