"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"vtkValidPointMask"	"Time"	"Point Coordinates:0"	"Point Coordinates:1"	"Point Coordinates:2"
9.07385e-01	-6.44184e-02	3.81168e-02	-4.58209e-02	6.49309e-01	2.58026e-01	-4.06107e-01	1	1.36000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.41713e-01	-1.97063e-02	7.75913e-03	-2.05048e-02	6.75978e-01	2.70207e-01	-2.39424e-01	1	1.37000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.45459e-01	3.23003e-02	-4.71523e-02	-1.33189e-02	6.83675e-01	2.72741e-01	-1.91318e-01	1	1.38000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.44289e-01	1.03632e-01	-7.88112e-02	-5.11051e-02	6.76333e-01	2.66390e-01	-2.37204e-01	1	1.39000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.07026e-01	1.78194e-01	-8.86521e-02	-4.45171e-02	6.34713e-01	2.44714e-01	-4.97328e-01	1	1.40000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.21429e-01	1.05498e-01	-7.38693e-02	-3.63740e-02	5.68438e-01	2.23015e-01	-9.11548e-01	1	1.41000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.00183e-01	3.59524e-02	1.06325e-02	-4.85875e-02	5.54635e-01	2.20913e-01	-9.97817e-01	1	1.42000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.02710e-01	-1.12286e-02	5.79212e-02	-5.53495e-03	5.53253e-01	2.20426e-01	-1.00646e+00	1	1.43000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.32830e-01	-1.18942e-01	1.17961e-01	-4.36044e-02	5.71922e-01	2.21573e-01	-8.89774e-01	1	1.44000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.81552e-01	-2.77629e-01	1.16762e-01	-1.10790e-01	6.14083e-01	2.22269e-01	-6.26266e-01	1	1.45000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
