"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Function5"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
-7.65353e-01	-4.80150e-01	-1.67244e-01	7.84938e-01	6.68096e-01	5.06343e-01	6.39675e-03	5.09335e-02	2.47300e-03	-5.49791e-03	4.92837e-04	2.90464e-04	1	1.23200e-01	7.50000e-01	2.50000e-01	1.32000e-02
-8.15481e-01	-6.75763e-01	-1.48300e-01	7.83429e-01	6.68055e-01	5.45677e-01	6.32382e-03	5.10968e-02	2.52478e-03	-5.45688e-03	4.98641e-04	1.88956e-04	1	1.25400e-01	7.50000e-01	2.50000e-01	1.54000e-02
-8.28627e-01	-8.57510e-01	-5.79194e-02	8.16973e-01	6.68012e-01	6.24512e-01	6.22878e-03	5.13069e-02	2.57913e-03	-5.39819e-03	5.12130e-04	1.03655e-04	1	1.27600e-01	7.50000e-01	2.50000e-01	1.76000e-02
-8.08390e-01	-8.90608e-01	-1.05419e-02	8.61038e-01	6.67974e-01	6.88242e-01	6.11705e-03	5.15544e-02	2.63253e-03	-5.34197e-03	5.21440e-04	3.52282e-05	1	1.29800e-01	7.50000e-01	2.50000e-01	1.98000e-02
-8.02807e-01	-7.77304e-01	-5.65155e-02	8.88509e-01	6.67945e-01	6.75300e-01	6.02614e-03	5.17708e-02	2.67948e-03	-5.33889e-03	5.09130e-04	-2.12431e-05	1	1.32000e-01	7.50000e-01	2.50000e-01	2.20000e-02
-8.35300e-01	-6.66147e-01	-7.69338e-02	8.92128e-01	6.67928e-01	6.22009e-01	5.98050e-03	5.19201e-02	2.71585e-03	-5.40268e-03	4.69721e-04	-6.70976e-05	1	1.34200e-01	7.50000e-01	2.50000e-01	2.42000e-02
-8.84378e-01	-6.63428e-01	-7.47089e-03	8.81190e-01	6.67917e-01	5.86227e-01	5.97350e-03	5.20639e-02	2.74016e-03	-5.49024e-03	4.09404e-04	-9.96688e-05	1	1.36400e-01	7.50000e-01	2.50000e-01	2.64000e-02
-9.06142e-01	-7.01329e-01	5.35116e-02	8.63587e-01	6.67911e-01	5.74619e-01	5.98623e-03	5.22304e-02	2.75149e-03	-5.58203e-03	3.33371e-04	-1.18065e-04	1	1.38600e-01	7.50000e-01	2.50000e-01	2.86000e-02
-9.24341e-01	-6.35134e-01	5.35679e-02	8.39147e-01	6.67911e-01	5.35023e-01	6.01982e-03	5.23782e-02	2.74777e-03	-5.69579e-03	2.47705e-04	-1.28914e-04	1	1.40800e-01	7.50000e-01	2.50000e-01	3.08000e-02
-9.94334e-01	-4.84085e-01	8.68464e-02	7.97198e-01	6.67919e-01	4.63439e-01	6.08253e-03	5.25062e-02	2.72687e-03	-5.82431e-03	1.61658e-04	-1.44266e-04	1	1.43000e-01	7.50000e-01	2.50000e-01	3.30000e-02
-1.08093e+00	-4.49612e-01	1.97058e-01	7.25088e-01	6.67935e-01	4.23223e-01	6.17905e-03	5.26758e-02	2.68871e-03	-5.92724e-03	8.27939e-05	-1.66132e-04	1	1.45200e-01	7.50000e-01	2.50000e-01	3.52000e-02
-1.11131e+00	-5.74026e-01	2.71590e-01	6.37352e-01	6.67954e-01	4.25516e-01	6.31042e-03	5.29260e-02	2.64133e-03	-6.00815e-03	1.86734e-05	-1.89408e-04	1	1.47400e-01	7.50000e-01	2.50000e-01	3.74000e-02
-1.09507e+00	-6.34008e-01	2.22831e-01	5.79321e-01	6.67968e-01	4.23556e-01	6.48315e-03	5.32604e-02	2.60107e-03	-6.10386e-03	-2.00214e-05	-2.22173e-04	1	1.49600e-01	7.50000e-01	2.50000e-01	3.96000e-02
-1.05863e+00	-5.42597e-01	1.15980e-01	5.79921e-01	6.67967e-01	4.03898e-01	6.68734e-03	5.36096e-02	2.57958e-03	-6.20307e-03	-2.84797e-05	-2.69602e-04	1	1.51800e-01	7.50000e-01	2.50000e-01	4.18000e-02
-9.52006e-01	-4.69869e-01	4.02020e-02	6.23119e-01	6.67950e-01	4.14694e-01	6.88114e-03	5.37822e-02	2.57726e-03	-6.26637e-03	-1.22539e-05	-3.12240e-04	1	1.54000e-01	7.50000e-01	2.50000e-01	4.40000e-02
-8.22452e-01	-4.40483e-01	-1.79351e-02	6.77881e-01	6.67921e-01	4.48658e-01	7.01812e-03	5.36850e-02	2.59204e-03	-6.28564e-03	1.82040e-05	-3.40460e-04	1	1.56200e-01	7.50000e-01	2.50000e-01	4.62000e-02
-8.30067e-01	-2.89506e-01	-1.02358e-01	7.27720e-01	6.67884e-01	4.46457e-01	7.06398e-03	5.34442e-02	2.62205e-03	-6.31047e-03	5.46134e-05	-3.66678e-04	1	1.58400e-01	7.50000e-01	2.50000e-01	4.84000e-02
-9.34421e-01	-4.51740e-02	-1.71625e-01	7.69315e-01	6.67849e-01	4.23361e-01	7.01026e-03	5.31496e-02	2.65967e-03	-6.41055e-03	9.20834e-05	-3.82261e-04	1	1.60600e-01	7.50000e-01	2.50000e-01	5.06000e-02
-9.47112e-01	9.79570e-02	-1.47693e-01	8.12771e-01	6.67821e-01	4.29426e-01	6.89788e-03	5.27962e-02	2.69663e-03	-6.57176e-03	1.25349e-04	-3.69520e-04	1	1.62800e-01	7.50000e-01	2.50000e-01	5.28000e-02
-8.22670e-01	9.74333e-02	-2.14237e-02	8.77656e-01	6.67810e-01	4.74069e-01	6.79155e-03	5.23764e-02	2.72614e-03	-6.72572e-03	1.56776e-04	-3.24629e-04	1	1.65000e-01	7.50000e-01	2.50000e-01	5.50000e-02
-6.34183e-01	6.10244e-02	1.49269e-01	9.65458e-01	6.67825e-01	5.97151e-01	6.72368e-03	5.19649e-02	2.73854e-03	-6.85886e-03	2.00617e-04	-2.57312e-04	1	1.67200e-01	7.50000e-01	2.50000e-01	5.72000e-02
-4.29091e-01	6.03753e-02	2.92370e-01	1.05506e+00	6.67862e-01	9.21257e-01	6.65090e-03	5.16496e-02	2.72596e-03	-7.01410e-03	2.66572e-04	-1.92352e-04	1	1.69400e-01	7.50000e-01	2.50000e-01	5.94000e-02
-2.35685e-01	7.48717e-02	3.61689e-01	1.13726e+00	6.67912e-01	2.17337e+00	6.53959e-03	5.14138e-02	2.69028e-03	-7.20896e-03	3.45850e-04	-1.50461e-04	1	1.71600e-01	7.50000e-01	2.50000e-01	6.16000e-02
-8.81929e-02	7.49736e-02	3.23016e-01	1.22810e+00	6.67967e-01	-1.58646e+00	6.46868e-03	5.12581e-02	2.64014e-03	-7.41897e-03	4.17268e-04	-1.29549e-04	1	1.73800e-01	7.50000e-01	2.50000e-01	6.38000e-02
1.36822e-03	6.33379e-02	1.68142e-01	1.33481e+00	6.68026e-01	-1.14302e+01	6.51626e-03	5.12202e-02	2.58196e-03	-7.61854e-03	4.60462e-04	-1.18072e-04	1	1.76000e-01	7.50000e-01	2.50000e-01	6.60000e-02
7.41197e-02	1.67330e-02	-4.10458e-02	1.42993e+00	6.68092e-01	-1.70966e+00	6.66138e-03	5.12576e-02	2.51861e-03	-7.77663e-03	4.69178e-04	-1.03140e-04	1	1.78200e-01	7.50000e-01	2.50000e-01	6.82000e-02
1.79243e-01	-1.08109e-01	-2.24150e-01	1.48028e+00	6.68165e-01	-2.33608e+00	6.84773e-03	5.12691e-02	2.45055e-03	-7.84562e-03	4.49478e-04	-6.77424e-05	1	1.80400e-01	7.50000e-01	2.50000e-01	7.04000e-02
2.81665e-01	-2.71079e-01	-3.53296e-01	1.48647e+00	6.68245e-01	-1.54706e+00	7.01849e-03	5.11963e-02	2.37637e-03	-7.79543e-03	4.11790e-04	-4.04893e-06	1	1.82600e-01	7.50000e-01	2.50000e-01	7.26000e-02
3.22559e-01	-3.51725e-01	-4.32487e-01	1.47837e+00	6.68328e-01	-1.49368e+00	7.12655e-03	5.10331e-02	2.29540e-03	-7.63189e-03	3.69125e-04	7.34287e-05	1	1.84800e-01	7.50000e-01	2.50000e-01	7.48000e-02
3.25105e-01	-2.96822e-01	-4.57341e-01	1.48408e+00	6.68407e-01	-1.74493e+00	7.14843e-03	5.07904e-02	2.21272e-03	-7.38410e-03	3.33656e-04	1.36164e-04	1	1.87000e-01	7.50000e-01	2.50000e-01	7.70000e-02
3.32704e-01	-1.69070e-01	-4.28623e-01	1.50675e+00	6.68473e-01	-2.10503e+00	7.08548e-03	5.04972e-02	2.13824e-03	-7.10868e-03	3.14278e-04	1.65453e-04	1	1.89200e-01	7.50000e-01	2.50000e-01	7.92000e-02
3.28920e-01	-4.32137e-02	-3.70072e-01	1.52088e+00	6.68516e-01	-2.76419e+00	6.96902e-03	5.02294e-02	2.07948e-03	-6.86829e-03	3.17051e-04	1.64529e-04	1	1.91400e-01	7.50000e-01	2.50000e-01	8.14000e-02
2.82760e-01	5.14186e-02	-3.06955e-01	1.49868e+00	6.68537e-01	-4.85162e+00	6.84900e-03	5.00761e-02	2.03992e-03	-6.68339e-03	3.40604e-04	1.50547e-04	1	1.93600e-01	7.50000e-01	2.50000e-01	8.36000e-02
2.09054e-01	8.95465e-02	-2.36703e-01	1.44632e+00	6.68541e-01	-1.46836e+02	6.74976e-03	5.00622e-02	2.02229e-03	-6.53188e-03	3.72005e-04	1.38365e-04	1	1.95800e-01	7.50000e-01	2.50000e-01	8.58000e-02
1.41185e-01	6.56101e-02	-1.44028e-01	1.39884e+00	6.68534e-01	2.18602e+00	6.65749e-03	5.01322e-02	2.02797e-03	-6.39647e-03	3.91848e-04	1.25363e-04	1	1.98000e-01	7.50000e-01	2.50000e-01	8.80000e-02
7.90083e-02	3.92575e-02	-4.33506e-02	1.37848e+00	6.68517e-01	3.00295e+00	6.57486e-03	5.01991e-02	2.05539e-03	-6.29926e-03	3.87120e-04	9.29747e-05	1	2.00200e-01	7.50000e-01	2.50000e-01	9.02000e-02
2.14078e-02	5.18242e-02	1.75179e-02	1.37906e+00	6.68489e-01	5.62220e-01	6.50422e-03	5.01920e-02	2.10127e-03	-6.28658e-03	3.61538e-04	2.79707e-05	1	2.02400e-01	7.50000e-01	2.50000e-01	9.24000e-02
-7.60510e-03	4.22622e-02	1.70940e-02	1.39186e+00	6.68450e-01	-1.24613e-01	6.41939e-03	5.00673e-02	2.16061e-03	-6.37242e-03	3.32955e-04	-6.69345e-05	1	2.04600e-01	7.50000e-01	2.50000e-01	9.46000e-02
6.71747e-03	-3.12048e-02	1.92769e-02	1.42325e+00	6.68401e-01	1.20705e+00	6.32839e-03	4.98286e-02	2.22462e-03	-6.52571e-03	3.19707e-04	-1.83201e-04	1	2.06800e-01	7.50000e-01	2.50000e-01	9.68000e-02
3.95464e-02	-6.02599e-02	1.12240e-01	1.47925e+00	6.68346e-01	-1.46327e+01	6.26577e-03	4.95549e-02	2.28282e-03	-6.72546e-03	3.26850e-04	-3.09211e-04	1	2.09000e-01	7.50000e-01	2.50000e-01	9.90000e-02
7.60188e-02	7.90934e-02	2.67747e-01	1.55062e+00	6.68290e-01	1.94183e+02	6.24480e-03	4.93599e-02	2.32992e-03	-6.96096e-03	3.44295e-04	-4.29563e-04	1	2.11200e-01	7.50000e-01	2.50000e-01	1.01200e-01
1.43053e-01	3.23698e-01	3.49948e-01	1.62057e+00	6.68239e-01	2.04894e+00	6.27749e-03	4.93035e-02	2.37061e-03	-7.20317e-03	3.53645e-04	-5.29685e-04	1	2.13400e-01	7.50000e-01	2.50000e-01	1.03400e-01
2.37236e-01	4.88089e-01	3.03769e-01	1.67686e+00	6.68193e-01	2.10986e+00	6.37827e-03	4.93644e-02	2.41612e-03	-7.41933e-03	3.40452e-04	-6.02871e-04	1	2.15600e-01	7.50000e-01	2.50000e-01	1.05600e-01
